date,close
05/05/2021,52.00
05/02/2021,50.00
05/11/2020,37.00
05/08/2020,37.10
05/05/2020,36.90
05/02/2020,32.10
05/11/2019,36.10
05/08/2019,34.60
06/05/2019,37.25
05/11/2018,43.75
06/08/2018,31.70
07/05/2018,36.10
05/02/2018,37.75
06/11/2017,35.70
07/08/2017,43.00
05/05/2017,40.65
06/02/2017,32.80
07/11/2016,38.40
05/08/2016,34.70
05/05/2016,35.10
05/02/2016,39.00
05/11/2015,39.70
05/08/2015,37.70
05/05/2015,40.00
05/02/2015,39.00
05/11/2014,37.00
05/08/2014,32.80
05/05/2014,37.90
06/02/2014,34.70
05/11/2013,26.80
05/08/2013,27.00
06/05/2013,24.50
05/02/2013,21.70
05/11/2012,19.20
06/08/2012,23.60
07/05/2012,22.10
06/02/2012,18.50
07/11/2011,19.90
05/08/2011,19.50
05/05/2011,19.00
08/02/2011,25.10
05/11/2010,28.80
05/08/2010,39.00
05/05/2010,51.50
