date,close
05/05/2021,52.70
05/02/2021,54.50
05/11/2020,65.30
05/08/2020,56.20
05/05/2020,55.50
05/02/2020,51.40
05/11/2019,83.80
05/08/2019,86.90
06/05/2019,126.80
05/11/2018,71.90
06/08/2018,66.50
07/05/2018,77.00
05/02/2018,68.90
06/11/2017,59.50
07/08/2017,37.60
05/05/2017,39.70
06/02/2017,34.60
07/11/2016,40.00
05/08/2016,42.00
05/05/2016,33.90
05/02/2016,32.00
05/11/2015,32.20
05/08/2015,32.00
05/05/2015,31.70
05/02/2015,32.00
05/11/2014,34.50
05/08/2014,25.60
05/05/2014,24.30
06/02/2014,25.10
05/11/2013,19.00
05/08/2013,17.50
06/05/2013,17.80
05/02/2013,16.60
05/11/2012,15.20
06/08/2012,19.00
07/05/2012,22.30
06/02/2012,15.90
07/11/2011,18.50
05/08/2011,16.20
05/05/2011,23.70
08/02/2011,39.50
05/11/2010,41.10
05/08/2010,55.50
05/05/2010,72.50
05/02/2010,48.00
05/11/2009,66.00
