date,close
05/05/2021,26.50
05/02/2021,27.50
05/11/2020,19.60
05/08/2020,16.15
05/05/2020,19.70
05/02/2020,22.75
05/11/2019,22.75
05/08/2019,19.55
06/05/2019,20.90
05/11/2018,21.40
06/08/2018,23.90
07/05/2018,23.60
05/02/2018,25.60
06/11/2017,20.40
07/08/2017,26.75
05/05/2017,28.15
06/02/2017,31.10
07/11/2016,36.40
05/08/2016,36.60
05/05/2016,47.90
05/02/2016,40.40
05/11/2015,45.30
05/08/2015,50.00
05/05/2015,60.00
05/02/2015,60.50
05/11/2014,62.00
05/08/2014,52.00
05/05/2014,43.30
06/02/2014,43.80
05/11/2013,39.50
05/08/2013,38.70
06/05/2013,40.70
05/02/2013,36.40
05/11/2012,24.80
06/08/2012,27.50
07/05/2012,49.50
06/02/2012,19.60
07/11/2011,17.80
05/08/2011,20.00
05/05/2011,27.90
08/02/2011,40.00
05/11/2010,38.70
05/08/2010,45.20
05/05/2010,119.00
05/02/2010,126.00
05/11/2009,147.00
05/08/2009,87.50
05/05/2009,30.60
05/02/2009,16.10
05/11/2008,25.70
05/08/2008,33.90
05/05/2008,52.00
