date,close
05/05/2021,41.00
05/02/2021,39.90
05/11/2020,23.45
05/08/2020,15.95
05/05/2020,16.80
05/02/2020,20.15
05/11/2019,22.90
05/08/2019,16.90
06/05/2019,14.85
05/11/2018,13.50
06/08/2018,13.45
07/05/2018,17.20
05/02/2018,14.80
06/11/2017,16.50
07/08/2017,16.50
05/05/2017,11.40
06/02/2017,10.70
07/11/2016,11.90
05/08/2016,13.70
05/05/2016,13.00
05/02/2016,13.60
05/11/2015,14.30
05/08/2015,13.90
05/05/2015,13.00
05/02/2015,13.90
05/11/2014,21.70
05/08/2014,20.00
05/05/2014,24.80
06/02/2014,16.80
05/11/2013,13.90
05/08/2013,14.20
06/05/2013,14.80
05/02/2013,17.30
05/11/2012,13.30
06/08/2012,16.00
07/05/2012,19.80
06/02/2012,17.90
07/11/2011,17.10
05/08/2011,16.80
05/05/2011,26.90
08/02/2011,39.50
05/11/2010,42.50
05/08/2010,50.00
05/05/2010,60.50
05/02/2010,60.00
05/11/2009,80.50
05/08/2009,45.80
05/05/2009,26.40
05/02/2009,19.90
05/11/2008,25.00
05/08/2008,28.30
05/05/2008,46.60
