Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,64686533401.0,1015581352268.0,1116384783934.0,5612363406.0,39500000000.0,349556151004.0,432255618427.0,490604974841.0,210000000000,210000000000.0,23.4
1,2020/4/0/0,33445570822.0,1009474223910.0,1089175188323.0,13874736655.0,9500000000.0,258582528255.0,461467131616.0,448290277566.0,210000000000,210000000000.0,16.0
2,2020/3/0/0,19538307654.0,846714154048.0,888156988370.0,9393240325.0,18800000000.0,254603605497.0,400649413481.0,416817351841.0,210000000000,210000000000.0,14.3
3,2020/2/0/0,8276785711.0,834230624504.0,858434256523.0,9974385031.0,18800000000.0,233813554097.0,390982097064.0,407797133921.0,210000000000,210000000000.0,12.3
4,2020/1/0/0,6393319012.0,775609276800.0,795168991794.0,2464148668.0,9500000000.0,234896419844.0,420450861684.0,419530589568.0,210000000000,210000000000.0,13.5
5,2019/4/0/0,-18070884582.0,1187396543150.0,1175124819138.0,22689595611.0,9500000000.0,320147313836.0,470812074042.0,579674898768.0,210000000000,210000000000.0,11.8
6,2019/3/0/0,859131318.0,1104312212688.0,1118458127072.0,3774404370.0,9500000000.0,304051110678.0,641279641470.0,704065325553.0,210000000000,210000000000.0,12.0
7,2019/2/0/0,16381530688.0,1078480693168.0,1123645025599.0,12494172190.0,5000000000.0,333248575940.0,639549364937.0,734819422876.0,210000000000,210000000000.0,14.9
8,2019/1/0/0,12073843613.0,1044967995728.0,1076729144817.0,16325605835.0,,415280476913.0,581448154998.0,726839085589.0,210000000000,210000000000.0,18.65
9,2018/4/0/0,41410586711.0,880737727704.0,959119058383.0,25008114683.0,15000000000.0,305563984981.0,429131730481.0,460477521440.0,210000000000,210000000000.0,17.1
10,2018/3/0/0,22989518997.0,938862907382.0,999225322806.0,24178662427.0,15000000000.0,346363953365.0,550199871188.0,683556997309.0,210000000000,210000000000.0,14.4
11,2018/2/0/0,32052005504.0,904506164774.0,975979595022.0,7896964080.0,7935000000.0,436223058286.0,389786646016.0,600399821492.0,210000000000,210000000000.0,14.0
12,2018/1/0/0,16284016800.0,858102980083.0,892469046396.0,102400076027.0,6095000000.0,418695148727.0,443023726903.0,780758342971.0,210000000000,210000000000.0,18.25
13,2017/4/0/0,35790844793.0,657253013629.0,742428718265.0,21473323740.0,32355000000.0,367637675437.0,465997764372.0,646359542505.0,210000000000,210000000000.0,14.6
14,2017/3/0/0,16087632826.0,804334092620.0,851391332126.0,4173581160.0,32700000000.0,335093382144.0,206045078186.0,349233701148.0,210000000000,210000000000.0,12.5
15,2017/2/0/0,12027645772.0,503333811777.0,535033685772.0,5738817872.0,23050000000.0,293388817918.0,253383259242.0,379172041007.0,210000000000,210000000000.0,10.8
16,2017/1/0/0,17005591668.0,605908801677.0,639880536171.0,25506620400.0,23050000000.0,273546683931.0,167851321709.0,274273465957.0,210000000000,210000000000.0,10.7
17,2016/4/0/0,23901258427.0,433613895483.0,467173196579.0,31242920955.0,41655000000.0,233659795500.0,305885851741.0,413258210354.0,210000000000,210000000000.0,9.7
18,2016/3/0/0,11242329351.0,547106253292.0,584587501208.0,32233129833.0,59090000000.0,280900015467.0,225369465742.0,506144209814.0,210000000000,210000000000.0,8.6
19,2016/2/0/0,16597684846.0,613025778558.0,660731631653.0,82779086249.0,9775000000.0,269010190046.0,306509911601.0,592120429661.0,210000000000,210000000000.0,8.3
20,2016/1/0/0,10623450479.0,618397070037.0,648958746122.0,113782017868.0,12305000000.0,378967325128.0,297303796945.0,727029433471.0,210000000000,210000000000.0,7.2
21,2015/4/0/0,-39496168258.0,532399728828.0,512724518831.0,20341953733.0,9200000000.0,244394145296.0,328660258749.0,563124356227.0,210000000000,210000000000.0,6.9
22,2015/3/0/0,1357519366.0,575753949676.0,594916342730.0,9513533940.0,7705000000.0,276551412617.0,448382137338.0,728267384071.0,210000000000,210000000000.0,7.7
23,2015/2/0/0,4654958764.0,479593582037.0,490200029799.0,2420941361.0,5290000000.0,286967621174.0,404570322531.0,658260863073.0,210000000000,210000000000.0,8.9
24,2015/1/0/0,798328783.0,428791365097.0,444651492830.0,22907429603.0,4255000000.0,328808464499.0,408247949853.0,701508863295.0,210000000000,210000000000.0,9.5
25,2014/4/0/0,6460901415.0,834170492823.0,884457621118.0,10835472681.0,4255000000.0,348629012118.0,433704350069.0,738028343360.0,0,210000000000.0,9.6
26,2014/3/0/0,6875729932.0,895604375464.0,921508807736.0,14372589572.0,4025000000.0,451834947945.0,505042295516.0,920262031481.0,0,210000000000.0,9.5
27,2014/2/0/0,5221523124.0,602625192066.0,625281628971.0,22802021809.0,4025000000.0,300997070030.0,588232386439.0,849428980261.0,0,210000000000.0,9.0
28,2014/1/0/0,4900590297.0,463005429208.0,488597367941.0,10994325434.0,3105000000.0,284470573412.0,456373241988.0,668647152519.0,0,210000000000.0,9.8
29,2013/4/0/0,,,,,,,,,0,,8.8
30,2013/3/0/0,4635145852.0,778698544183.0,805591646854.0,10620413703.0,3910000000.0,373202014170.0,456463442212.0,748025818998.0,0,210000000000.0,7.7
31,2013/2/0/0,5776962643.0,848192701100.0,885597728160.0,16282152161.0,3910000000.0,320853669000.0,476028960760.0,730841163635.0,0,210000000000.0,7.5
32,2013/1/0/0,4557495938.0,803598962250.0,830500279639.0,14563059030.0,4370000000.0,357195418619.0,457299588923.0,759145856690.0,0,210000000000.0,7.2
