Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,-4974854690423.0,11329232372653.0,7460147477776.0,1594848267764.0,481926718663.0,3326388645157.0,1592393324213.0,37027577581892.0,14182908470000.0,14182908470000.0,27.8
1,2020/4/0/0,-422041546818.0,7686980960246.0,8202383377146.0,1646929533501.0,494031718663.0,3795038465897.0,1849667199542.0,33036911271830.0,14182908470000.0,14182908470000.0,26.35
2,2020/3/0/0,-3997177768707.0,10803033184773.0,7602200645452.0,2618470823057.0,656337848726.0,3635680193224.0,1969913699825.0,31454104615646.0,14182908470000.0,14182908470000.0,24.9
3,2020/2/0/0,-4030670706528.0,9869234654994.0,5995324681703.0,2601175799001.0,1648346209000.0,4258385839668.0,2425352047933.0,30456014422809.0,14182908470000.0,14182908470000.0,23.75
4,2020/1/0/0,-2611513096721.0,19445060262097.0,18812989923831.0,2467968567440.0,3269565870332.0,5570217273614.0,2546807890282.0,29201082107556.0,14182908470000.0,14182908470000.0,26.4
5,2019/4/0/0,3568561361.0,21680871915632.0,23083301449105.0,5054893104754.0,1458785409000.0,7799411568922.0,3598279241529.0,31203214046617.0,14182908470000.0,14182908470000.0,26.4
6,2019/3/0/0,1131735946513.0,22110016458702.0,25418382529887.0,5090254424968.0,3799783160000.0,8044258415381.0,3284469523542.0,32553670558250.0,14182908470000.0,14182908470000.0,35.9
7,2019/2/0/0,168923554254.0,21703550034002.0,24139688900155.0,8055083759116.0,2063542660000.0,8740014117394.0,3622642843191.0,35681473931229.0,14182908470000.0,14182908470000.0,38.8
8,2019/1/0/0,1212389964889.0,21520714759356.0,25536177882578.0,7515193547161.0,2164239166849.0,9362802188592.0,3549777093640.0,33841160295160.0,14182908470000.0,14182908470000.0,40.5
9,2018/4/0/0,563930480489.0,21454194370421.0,23887379016763.0,3652867000330.0,2825757791157.0,9436825133540.0,3692539387866.0,32011076844337.0,14182908470000.0,14182908470000.0,39.8
10,2018/3/0/0,457814989221.0,22288007953418.0,25376822201948.0,5361702344922.0,2911531459991.0,8890415342044.0,4143327512933.0,33725897524825.0,12275337780000.0,12275337780000.0,32.6
11,2018/2/0/0,374326184767.0,20085026862494.0,23145665205552.0,7582329731989.0,2316688086391.0,8663618422953.0,4032470404793.0,35484259295438.0,12275337780000.0,12275337780000.0,37.3
12,2018/1/0/0,1136848885423.0,20786892377814.0,24411537556034.0,10676664764293.0,370884086391.0,9149506296073.0,3141925570639.0,34611426247265.0,12275337780000.0,12275337780000.0,38.9
13,2017/4/0/0,409914126751.0,20016772135556.0,21306162411070.0,7229745067323.0,721299086391.0,9442685279716.0,3228357805403.0,32615315688732.0,12275337780000.0,12275337780000.0,45.5
