date,close
05/05/2021,7.35
05/02/2021,6.02
05/11/2020,4.80
05/08/2020,4.06
05/05/2020,2.61
05/02/2020,2.22
05/11/2019,3.14
05/08/2019,3.17
06/05/2019,2.95
05/11/2018,2.70
06/08/2018,2.73
07/05/2018,2.33
05/02/2018,3.06
06/11/2017,3.28
07/08/2017,4.19
05/05/2017,3.26
06/02/2017,3.89
07/11/2016,4.94
05/08/2016,4.90
05/05/2016,4.50
05/02/2016,5.20
05/11/2015,6.40
05/08/2015,6.30
05/05/2015,6.50
05/02/2015,7.30
05/11/2014,8.50
05/08/2014,7.90
05/05/2014,8.10
06/02/2014,7.60
05/11/2013,6.30
05/08/2013,5.80
06/05/2013,6.80
05/02/2013,9.00
05/11/2012,3.80
06/08/2012,7.00
07/05/2012,9.20
06/02/2012,8.00
07/11/2011,8.70
05/08/2011,9.10
05/05/2011,12.80
08/02/2011,16.70
05/11/2010,15.70
05/08/2010,21.40
05/05/2010,37.50
05/02/2010,32.80
05/11/2009,39.70
05/08/2009,35.00
05/05/2009,36.60
05/02/2009,22.80
05/11/2008,34.90
05/08/2008,81.50
05/05/2008,73.00
