date,close
05/05/2021,15.60
05/02/2021,15.90
05/11/2020,14.45
05/08/2020,14.20
05/05/2020,13.50
05/02/2020,16.70
05/11/2019,16.00
05/08/2019,14.60
06/05/2019,12.50
05/11/2018,11.80
06/08/2018,13.30
07/05/2018,16.00
05/02/2018,14.10
06/11/2017,14.00
07/08/2017,14.85
05/05/2017,13.90
06/02/2017,10.10
07/11/2016,11.00
05/08/2016,10.80
05/05/2016,8.70
05/02/2016,8.00
05/11/2015,8.80
05/08/2015,8.70
05/05/2015,8.00
05/02/2015,6.80
05/11/2014,7.90
05/08/2014,7.90
05/05/2014,8.00
06/02/2014,7.20
05/11/2013,7.50
05/08/2013,7.10
06/05/2013,7.90
05/02/2013,8.00
05/11/2012,7.00
06/08/2012,9.70
07/05/2012,13.10
06/02/2012,6.90
07/11/2011,10.30
05/08/2011,12.80
05/05/2011,16.40
08/02/2011,23.50
05/11/2010,20.10
05/08/2010,29.00
05/05/2010,40.80
05/02/2010,85.00
05/11/2009,83.50
