date,close
05/05/2021,31.10
05/02/2021,23.90
05/11/2020,12.50
05/08/2020,12.20
05/05/2020,10.70
05/02/2020,9.70
05/11/2019,6.90
05/08/2019,7.70
06/05/2019,7.20
05/11/2018,8.10
06/08/2018,8.50
07/05/2018,11.00
05/02/2018,11.00
06/11/2017,12.30
07/08/2017,13.60
05/05/2017,9.40
06/02/2017,12.00
07/11/2016,10.80
05/08/2016,14.00
05/05/2016,10.40
05/02/2016,5.80
05/11/2015,7.90
05/08/2015,13.00
05/05/2015,8.80
05/02/2015,9.90
05/11/2014,5.20
05/08/2014,4.60
05/05/2014,4.20
06/02/2014,4.20
05/11/2013,3.50
05/08/2013,3.60
06/05/2013,3.60
05/02/2013,4.10
05/11/2012,4.10
06/08/2012,5.90
07/05/2012,7.10
06/02/2012,3.40
07/11/2011,7.50
05/08/2011,10.00
05/05/2011,20.40
08/02/2011,23.50
05/11/2010,28.00
05/08/2010,35.20
