Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,79916062117.0,1360626379173.0,1548344223645.0,1331632504751.0,66542102771.0,3033796489643.0,976872843586.0,5246179557649.0,1911881590000.0,1911881590000.0,26.2
1,2020/4/0/0,143513438210.0,2152842746343.0,2472081179601.0,1475767070027.0,62891072771.0,3420893012028.0,749710917349.0,3743512625911.0,1911881590000.0,1911881590000.0,25.6
2,2020/3/0/0,177164396393.0,1308606321047.0,1643811975209.0,1028099151518.0,99782484051.0,3170006777102.0,1069889656244.0,3312696561700.0,1593242660000.0,1593242660000.0,22.7
3,2020/2/0/0,128697087350.0,872181994613.0,1170417976026.0,1113581743982.0,149782484051.0,2376598232826.0,1137111793873.0,2820883618667.0,1593242660000.0,1593242660000.0,17.75
4,2020/1/0/0,88438692015.0,1170676437277.0,1369666180868.0,490459368435.0,146626756051.0,2171326813974.0,1089710640560.0,2807738551227.0,1593242660000.0,1593242660000.0,15.1
5,2019/4/0/0,57041036258.0,1395747267567.0,1568060090159.0,567647013585.0,180000000000.0,1864593067527.0,1429232198653.0,2591584156300.0,1593242660000.0,1593242660000.0,14.85
6,2019/3/0/0,82649576986.0,1070175657648.0,1252696695836.0,665020360605.0,150000000000.0,1866978042663.0,1610890155524.0,2670826400378.0,1593242660000.0,1593242660000.0,18.95
7,2019/2/0/0,143850969042.0,1457000089706.0,1735823974584.0,523592468499.0,110000000000.0,2049239444301.0,1499255849011.0,2577161063714.0,1327702940000.0,1327702940000.0,16.2
8,2019/1/0/0,91822224325.0,1103151349614.0,1285719366883.0,378868924255.0,110000000000.0,1796524923410.0,1150696499746.0,2024353905501.0,1327702940000.0,1327702940000.0,23.45
9,2018/4/0/0,57186465996.0,1351357671138.0,1507247763694.0,741280087829.0,50000000000.0,1632642973547.0,759026879563.0,1804911509431.0,1327702940000.0,1327702940000.0,24.3
10,2018/3/0/0,137888584944.0,905849995081.0,1132352131640.0,524232425478.0,50000000000.0,1546405083830.0,877788917756.0,1672817241620.0,1327702940000.0,1327702940000.0,23.9
11,2018/2/0/0,222981009559.0,1233557446659.0,1589943067751.0,814514344951.0,,1520611476477.0,1147330818274.0,2251855879389.0,1154528420000.0,1154528420000.0,31.25
12,2018/1/0/0,66697813820.0,737150469739.0,855954953640.0,428551844787.0,100000000000.0,1309313555270.0,1340385901561.0,2040062482155.0,1154528420000.0,1154528420000.0,32.5
13,2017/4/0/0,63791075574.0,742480202174.0,859492949619.0,567442040134.0,100000000000.0,1300219402723.0,1085192524417.0,1762040560856.0,1154528420000.0,1154528420000.0,36.0
14,2017/3/0/0,64144639222.0,800983402652.0,919619739080.0,485320121038.0,20000000000.0,1525779776114.0,838200333482.0,2121290882216.0,978413200000.0,978413200000.0,33.6
15,2017/2/0/0,68922519857.0,679374944749.0,816215652559.0,165388692508.0,,1462890837871.0,796708267586.0,1735321670734.0,978413200000.0,978413200000.0,36.2
16,2017/1/0/0,60292665963.0,456343264910.0,567071376162.0,244544632425.0,,1096059683010.0,685012573705.0,1270193188286.0,752629140000.0,752629140000.0,38.5
17,2016/4/0/0,44314982618.0,792199473885.0,905740303771.0,438544310717.0,,1043218686254.0,529379190537.0,1349936768119.0,752629140000.0,752629140000.0,36.0
18,2016/3/0/0,55034977764.0,439795600701.0,527492572796.0,340981266211.0,,1211242798164.0,561444012813.0,1180767845442.0,752629140000.0,752629140000.0,
19,2016/2/0/0,206681090261.0,1246936608124.0,1572806070704.0,262172359548.0,,1159436022469.0,503958420868.0,1138964652281.0,637821960000.0,,
20,2016/1/0/0,106484956253.0,488577698925.0,652208813225.0,303194481154.0,,834360309177.0,482269367337.0,855040746661.0,,,
21,2015/4/0/0,,,,,,,,,0.0,,
22,2015/3/0/0,37412956350.0,579103663148.0,669391307827.0,185324621357.0,,939443292083.0,865801682055.0,1396050447131.0,0.0,201000000000.0,
23,2015/2/0/0,62615012527.0,692224887390.0,809302729807.0,255691835797.0,,869893361067.0,750531215793.0,1271706570532.0,0.0,201000000000.0,
24,2015/1/0/0,34632828718.0,391601350921.0,465160181137.0,158621184718.0,,480497523658.0,770231049023.0,890619869210.0,0.0,201000000000.0,
25,2014/4/0/0,54009929629.0,713662418934.0,828953676935.0,414907865578.0,,537807338744.0,626041550473.0,1098450496624.0,0.0,201000000000.0,
26,2014/3/0/0,,,,,,,,,0.0,,
27,2014/2/0/0,,,,,,,,,0.0,,
28,2014/1/0/0,92281073239.0,333277650776.0,474254251065.0,156753686081.0,,575449112311.0,606110310758.0,1058437973182.0,0.0,180000000000.0,
29,2013/4/0/0,,,,,,,,,0.0,,
30,2013/3/0/0,,,,,,,,,0.0,,
31,2013/2/0/0,,,,,,,,,0.0,,
32,2013/1/0/0,,,,,,,,,0.0,,
33,2012/4/0/0,,,,,,,,,0.0,,
34,2012/3/0/0,,,,,,,,,0.0,,
35,2012/2/0/0,,,,,,,,,0.0,,
36,2012/1/0/0,,,,,,,,,0.0,,
37,2011/4/0/0,,,,,,,,,0.0,,
38,2011/3/0/0,,,,,,,,,0.0,,
39,2011/2/0/0,,,,,,,,,0.0,,
40,2011/1/0/0,,,,,,,,,0.0,,
41,2010/4/0/0,,,,,,,,,0.0,,
42,2010/3/0/0,,,,,,,,,0.0,,
43,2010/2/0/0,,,,,,,,,0.0,,
44,2010/1/0/0,,,,,,,,,0.0,,
45,2009/4/0/0,,,,,,,,,0.0,,
46,2009/3/0/0,,,,,,,,,0.0,,
47,2009/2/0/0,,,,,,,,,0.0,,
48,2009/1/0/0,,,,,,,,,0.0,,
49,2008/4/0/0,,,,,,,,,0.0,,
50,2008/3/0/0,,,,,,,,,0.0,,
51,2008/2/0/0,,,,,,,,,0.0,,
52,2008/1/0/0,,,,,,,,,0.0,,
