date,close
05/05/2021,12.30
05/02/2021,11.45
05/11/2020,10.40
05/08/2020,11.00
05/05/2020,9.98
05/02/2020,11.85
05/11/2019,11.50
05/08/2019,11.50
06/05/2019,13.45
05/11/2018,12.00
06/08/2018,12.30
07/05/2018,13.90
05/02/2018,13.00
06/11/2017,14.30
07/08/2017,13.80
05/05/2017,12.00
06/02/2017,12.00
07/11/2016,11.30
05/08/2016,11.70
05/05/2016,12.30
05/02/2016,10.90
05/11/2015,9.30
05/08/2015,9.00
05/05/2015,8.90
05/02/2015,8.30
05/11/2014,8.10
05/08/2014,7.80
05/05/2014,9.20
06/02/2014,8.20
05/11/2013,7.00
05/08/2013,7.40
06/05/2013,8.40
05/02/2013,8.10
05/11/2012,7.20
06/08/2012,8.00
07/05/2012,9.00
06/02/2012,5.70
07/11/2011,5.90
05/08/2011,5.90
05/05/2011,7.20
08/02/2011,8.40
05/11/2010,8.70
05/08/2010,12.80
05/05/2010,13.50
05/02/2010,10.50
05/11/2009,13.90
05/08/2009,12.00
05/05/2009,10.70
05/02/2009,10.50
05/11/2008,13.80
05/08/2008,12.30
05/05/2008,18.70
