date,close
05/05/2021,225.40
05/02/2021,157.30
05/11/2020,127.00
05/08/2020,85.50
05/05/2020,78.00
05/02/2020,74.40
05/11/2019,73.60
05/08/2019,83.80
06/05/2019,80.60
05/11/2018,90.00
06/08/2018,90.00
07/05/2018,122.00
05/02/2018,143.00
06/11/2017,141.00
07/08/2017,120.00
05/05/2017,130.00
06/02/2017,91.00
07/11/2016,110.50
05/08/2016,95.00
05/05/2016,73.50
05/02/2016,59.00
05/11/2015,54.00
05/08/2015,45.00
05/05/2015,45.00
05/02/2015,46.50
05/11/2014,45.00
05/08/2014,43.50
05/05/2014,51.00
06/02/2014,60.00
05/11/2013,56.00
05/08/2013,48.70
06/05/2013,37.80
05/02/2013,27.50
05/11/2012,22.60
06/08/2012,30.00
07/05/2012,36.00
06/02/2012,22.50
07/11/2011,18.10
05/08/2011,16.00
05/05/2011,16.50
08/02/2011,22.30
05/11/2010,20.60
05/08/2010,26.80
05/05/2010,33.30
05/02/2010,27.20
05/11/2009,29.20
05/08/2009,25.60
05/05/2009,25.00
05/02/2009,16.40
05/11/2008,31.00
05/08/2008,37.40
05/05/2008,39.80
