date,close
05/05/2021,25.50
05/02/2021,25.00
05/11/2020,18.20
05/08/2020,18.50
05/05/2020,19.80
05/02/2020,18.50
05/11/2019,23.90
05/08/2019,28.00
06/05/2019,30.90
05/11/2018,26.00
06/08/2018,29.00
07/05/2018,23.00
05/02/2018,24.70
06/11/2017,28.90
07/08/2017,27.25
05/05/2017,29.95
06/02/2017,24.50
07/11/2016,25.70
05/08/2016,26.00
05/05/2016,25.00
05/02/2016,27.40
05/11/2015,25.30
05/08/2015,27.00
05/05/2015,25.70
05/02/2015,20.30
05/11/2014,25.50
05/08/2014,25.70
05/05/2014,26.70
06/02/2014,22.50
05/11/2013,20.20
05/08/2013,19.00
06/05/2013,12.50
05/02/2013,12.50
05/11/2012,13.50
06/08/2012,16.20
07/05/2012,19.50
06/02/2012,10.10
07/11/2011,10.00
05/08/2011,15.80
05/05/2011,20.30
08/02/2011,35.00
05/11/2010,36.40
05/08/2010,57.50
05/05/2010,79.50
05/02/2010,56.50
05/11/2009,78.00
05/08/2009,44.60
05/05/2009,26.00
05/02/2009,18.40
05/11/2008,28.60
05/08/2008,27.30
05/05/2008,53.50
