date,close
05/05/2021,8.34
05/02/2021,8.30
05/11/2020,6.20
05/08/2020,5.12
05/05/2020,4.42
05/02/2020,5.40
05/11/2019,6.10
05/08/2019,6.80
06/05/2019,7.10
05/11/2018,8.00
06/08/2018,8.76
07/05/2018,11.00
05/02/2018,11.70
06/11/2017,9.10
07/08/2017,11.50
05/05/2017,9.20
06/02/2017,8.38
07/11/2016,9.20
05/08/2016,9.20
05/05/2016,9.00
05/02/2016,9.30
05/11/2015,8.10
05/08/2015,8.20
05/05/2015,6.80
05/02/2015,7.80
05/11/2014,9.80
05/08/2014,8.70
05/05/2014,8.30
06/02/2014,7.80
05/11/2013,6.70
05/08/2013,6.60
06/05/2013,7.50
05/02/2013,9.00
05/11/2012,4.80
06/08/2012,10.40
07/05/2012,16.80
06/02/2012,6.70
07/11/2011,8.70
05/08/2011,9.90
05/05/2011,12.60
08/02/2011,27.00
09/11/2010,26.10
