date,close
05/05/2021,46.30
05/02/2021,35.80
05/11/2020,24.00
05/08/2020,21.10
05/05/2020,17.95
05/02/2020,16.50
05/11/2019,14.65
05/08/2019,17.00
06/05/2019,17.20
05/11/2018,14.70
06/08/2018,20.80
07/05/2018,24.60
05/02/2018,28.00
06/11/2017,31.00
07/08/2017,28.35
05/05/2017,28.40
06/02/2017,22.55
07/11/2016,23.70
05/08/2016,22.40
05/05/2016,22.30
05/02/2016,21.70
05/11/2015,23.40
05/08/2015,22.40
05/05/2015,20.80
05/02/2015,24.30
05/11/2014,24.10
05/08/2014,20.10
05/05/2014,23.90
06/02/2014,24.00
05/11/2013,12.70
05/08/2013,12.30
06/05/2013,15.80
05/02/2013,20.50
05/11/2012,20.80
06/08/2012,30.40
07/05/2012,38.00
06/02/2012,22.70
07/11/2011,20.90
05/08/2011,26.20
05/05/2011,42.20
08/02/2011,68.00
05/11/2010,56.00
05/08/2010,73.50
05/05/2010,87.00
05/02/2010,77.00
05/11/2009,179.00
05/08/2009,128.00
05/05/2009,62.00
05/02/2009,47.40
05/11/2008,64.00
05/08/2008,69.50
05/05/2008,86.00
