Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,20700557765.0,60104938286.0,92967292699.0,193678391159.0,75300000000.0,258090964449.0,80696276106.0,121316282407.0,200000000000.0,200000000000.0,49.7
1,2020/4/0/0,28610985044.0,65394396961.0,95400397877.0,300476954473.0,111300000000.0,74483842225.0,81420099770.0,114736157081.0,200000000000.0,200000000000.0,51.5
2,2020/3/0/0,24401193638.0,59668800824.0,87702101334.0,270318902959.0,171300000000.0,44273855449.0,73405800022.0,109129048172.0,200000000000.0,200000000000.0,47.95
3,2020/2/0/0,26625910982.0,53899950514.0,89444080584.0,90309242771.0,395400000000.0,55897001183.0,74092587004.0,183736364018.0,200000000000.0,200000000000.0,43.5
4,2020/1/0/0,22262528361.0,56685498895.0,86762365719.0,115889426960.0,420200000000.0,65175581049.0,74341252432.0,126198632944.0,200000000000.0,200000000000.0,40.1
5,2019/4/0/0,29000684619.0,71381166189.0,98431453662.0,287727804571.0,211100000000.0,73861726496.0,74169579767.0,117856251889.0,200000000000.0,200000000000.0,36.5
6,2019/3/0/0,26145839258.0,62751747394.0,93096517173.0,89844294639.0,372475000000.0,111062644464.0,72225795086.0,97874153142.0,200000000000.0,200000000000.0,46.3
7,2019/2/0/0,25263923793.0,61893079349.0,93229779993.0,86462393635.0,442475000000.0,110407980126.0,73793428694.0,182247919776.0,200000000000.0,200000000000.0,59.7
8,2019/1/0/0,22540147681.0,55916164955.0,86293201883.0,50990403269.0,444300000000.0,122036278764.0,75179351021.0,121040603607.0,200000000000.0,200000000000.0,38.1
9,2018/4/0/0,26037817084.0,65656769422.0,93281080799.0,85945123336.0,452700000000.0,75557273621.0,76983590781.0,123037640681.0,200000000000.0,200000000000.0,30.7
10,2018/3/0/0,28200727556.0,62935124712.0,91623347268.0,74043685126.0,492330000000.0,70488897958.0,70307323674.0,102609253510.0,200000000000.0,200000000000.0,34.0
11,2018/2/0/0,26593038481.0,60458571162.0,93879139469.0,122532159230.0,471630000000.0,45527924374.0,72222843064.0,132514890819.0,200000000000.0,200000000000.0,31.1
12,2018/1/0/0,28235738567.0,53839226045.0,86079055235.0,50092698513.0,489980000000.0,100079556737.0,74438274709.0,102409421338.0,200000000000.0,200000000000.0,35.8
13,2017/4/0/0,22381554075.0,68072416759.0,92503759426.0,30447888485.0,455280000000.0,77923990469.0,77493777469.0,94769804815.0,200000000000.0,200000000000.0,34.8
14,2017/3/0/0,25321170079.0,60174913351.0,86239825636.0,43844041094.0,471740000000.0,53203497945.0,79645278804.0,95533276490.0,200000000000.0,200000000000.0,38.0
15,2017/2/0/0,21707300217.0,49968952002.0,72887013292.0,104962946569.0,510080000000.0,43382032412.0,82169717147.0,141782744157.0,200000000000.0,200000000000.0,39.0
16,2017/1/0/0,19626394310.0,44612664651.0,69191926237.0,168254742769.0,443850000000.0,55801707297.0,82998570596.0,81250074885.0,200000000000.0,200000000000.0,35.5
17,2016/4/0/0,23220146248.0,50770497858.0,74164596044.0,134067385388.0,454490000000.0,40847719606.0,83554720354.0,74615186334.0,200000000000.0,200000000000.0,34.8
18,2016/3/0/0,29866689093.0,38902658770.0,63483060182.0,155457268198.0,413080000000.0,50771870102.0,85536616264.0,71372458806.0,200000000000.0,200000000000.0,35.3
19,2016/2/0/0,37009458071.0,44689714858.0,93082515426.0,108220159132.0,362457000000.0,73930577738.0,85302257890.0,91013594209.0,200000000000.0,200000000000.0,25.6
20,2016/1/0/0,12804158877.0,35736568425.0,50923860943.0,134395298590.0,286857000000.0,41814595528.0,84736652941.0,128915892122.0,200000000000.0,200000000000.0,20.5
21,2015/4/0/0,7752339866.0,38958625129.0,50847036731.0,255260735655.0,150000000000.0,42309686771.0,82908190956.0,99220413985.0,200000000000.0,200000000000.0,20.4
22,2015/3/0/0,13731878997.0,35734886886.0,47285212132.0,192114369386.0,195300000000.0,51853336285.0,81977070306.0,44763167703.0,200000000000.0,200000000000.0,20.4
