date,close
05/05/2021,62.20
05/02/2021,47.90
05/11/2020,35.70
05/08/2020,33.80
05/05/2020,26.00
05/02/2020,24.50
05/11/2019,23.35
05/08/2019,25.70
06/05/2019,27.20
05/11/2018,30.90
06/08/2018,41.40
07/05/2018,50.90
05/02/2018,47.20
06/11/2017,43.00
07/08/2017,49.50
05/05/2017,60.00
06/02/2017,70.40
07/11/2016,78.00
05/08/2016,53.00
05/05/2016,59.00
05/02/2016,37.60
05/11/2015,41.00
05/08/2015,38.80
05/05/2015,43.30
05/02/2015,45.00
05/11/2014,46.80
05/08/2014,46.80
05/05/2014,44.70
06/02/2014,46.00
05/11/2013,42.40
05/08/2013,47.90
06/05/2013,37.50
05/02/2013,41.00
05/11/2012,37.00
06/08/2012,43.50
07/05/2012,41.50
06/02/2012,21.80
07/11/2011,22.70
05/08/2011,23.10
05/05/2011,27.00
08/02/2011,30.60
05/11/2010,23.50
05/08/2010,27.00
05/05/2010,36.80
05/02/2010,26.20
05/11/2009,29.50
05/08/2009,36.90
05/05/2009,25.70
05/02/2009,19.00
05/11/2008,31.30
05/08/2008,53.00
05/05/2008,111.00
