date,close
05/05/2021,26.15
05/02/2021,26.35
05/11/2020,24.50
05/08/2020,24.10
05/05/2020,22.80
05/02/2020,24.90
05/11/2019,24.50
05/08/2019,26.00
06/05/2019,24.70
05/11/2018,24.60
06/08/2018,24.20
07/05/2018,24.40
05/02/2018,24.00
06/11/2017,24.95
07/08/2017,25.00
05/05/2017,23.30
06/02/2017,24.00
07/11/2016,23.95
05/08/2016,23.10
05/05/2016,25.00
05/02/2016,24.20
05/11/2015,25.50
05/08/2015,26.00
05/05/2015,26.50
05/02/2015,26.00
05/11/2014,24.70
05/08/2014,21.70
05/05/2014,20.30
06/02/2014,17.80
05/11/2013,17.40
05/08/2013,15.70
06/05/2013,14.50
05/02/2013,13.70
05/11/2012,11.60
06/08/2012,11.40
07/05/2012,13.70
06/02/2012,10.40
07/11/2011,11.90
05/08/2011,10.90
05/05/2011,11.90
08/02/2011,12.80
05/11/2010,12.70
05/08/2010,15.00
05/05/2010,17.30
05/02/2010,18.40
05/11/2009,25.10
05/08/2009,28.00
05/05/2009,21.70
05/02/2009,13.40
05/11/2008,14.30
05/08/2008,11.80
05/05/2008,17.20
