date,close
05/05/2021,27.30
05/02/2021,29.40
05/11/2020,26.80
05/08/2020,24.20
05/05/2020,34.50
05/02/2020,42.30
05/11/2019,43.00
05/08/2019,45.00
06/05/2019,59.50
05/11/2018,57.50
06/08/2018,64.00
07/05/2018,66.50
05/02/2018,64.00
06/11/2017,57.90
07/08/2017,48.60
05/05/2017,55.50
06/02/2017,60.00
07/11/2016,56.50
05/08/2016,54.00
05/05/2016,53.00
05/02/2016,51.00
05/11/2015,52.20
05/08/2015,56.00
05/05/2015,71.20
05/02/2015,72.00
05/11/2014,79.00
05/08/2014,123.60
05/05/2014,96.00
06/02/2014,106.00
05/11/2013,160.00
05/08/2013,153.00
06/05/2013,167.80
05/02/2013,85.00
05/11/2012,75.00
06/08/2012,74.00
07/05/2012,76.10
06/02/2012,49.50
07/11/2011,43.50
05/08/2011,40.20
05/05/2011,40.60
08/02/2011,57.20
05/11/2010,44.00
05/08/2010,56.00
05/05/2010,75.00
05/02/2010,72.00
05/11/2009,75.90
05/08/2009,77.50
05/05/2009,110.00
05/02/2009,81.00
05/11/2008,97.50
05/08/2008,100.00
05/05/2008,98.00
