date,close
05/05/2021,31.00
05/02/2021,31.00
05/11/2020,30.00
05/08/2020,30.00
05/05/2020,30.00
05/02/2020,28.85
05/11/2019,28.60
05/08/2019,29.80
06/05/2019,29.00
05/11/2018,27.90
06/08/2018,37.45
07/05/2018,31.60
05/02/2018,36.30
06/11/2017,31.60
07/08/2017,32.25
05/05/2017,38.00
06/02/2017,32.50
07/11/2016,32.20
05/08/2016,30.10
05/05/2016,25.50
05/02/2016,24.50
05/11/2015,22.00
05/08/2015,21.00
05/05/2015,21.50
05/02/2015,22.20
05/11/2014,22.10
05/08/2014,20.20
05/05/2014,20.00
06/02/2014,19.50
05/11/2013,19.00
05/08/2013,17.50
06/05/2013,18.00
05/02/2013,18.00
05/11/2012,18.00
06/08/2012,20.00
07/05/2012,20.00
06/02/2012,16.50
07/11/2011,16.20
05/08/2011,16.90
05/05/2011,17.00
08/02/2011,43.00
05/11/2010,46.40
05/08/2010,57.00
05/05/2010,62.50
05/02/2010,58.00
