date,close
05/05/2021,7.96
05/02/2021,3.04
05/11/2020,1.84
05/08/2020,1.40
05/05/2020,1.49
05/02/2020,1.52
05/11/2019,1.62
05/08/2019,1.95
06/05/2019,2.08
05/11/2018,2.82
06/08/2018,1.54
07/05/2018,2.09
05/02/2018,2.60
06/11/2017,2.82
07/08/2017,4.86
05/05/2017,2.56
06/02/2017,2.25
07/11/2016,2.33
05/08/2016,30.20
05/05/2016,24.60
05/02/2016,26.00
05/11/2015,14.00
05/08/2015,13.10
05/05/2015,5.70
05/02/2015,4.90
05/11/2014,3.30
05/08/2014,3.10
09/05/2014,2.90
06/02/2014,3.10
05/11/2013,2.60
05/08/2013,1.40
06/05/2013,1.80
05/02/2013,2.50
05/11/2012,2.20
06/08/2012,4.10
07/05/2012,6.50
06/02/2012,4.20
07/11/2011,12.80
05/08/2011,11.60
05/05/2011,14.00
08/02/2011,23.50
05/11/2010,23.70
05/08/2010,30.40
