date,close
05/05/2021,16.40
05/02/2021,15.50
05/11/2020,13.15
05/08/2020,17.30
05/05/2020,12.25
05/02/2020,13.95
05/11/2019,13.75
05/08/2019,13.00
06/05/2019,14.20
05/11/2018,10.55
06/08/2018,10.45
07/05/2018,15.00
05/02/2018,11.40
06/11/2017,11.40
07/08/2017,11.50
05/05/2017,11.00
06/02/2017,10.50
07/11/2016,15.25
05/08/2016,15.70
05/05/2016,13.60
05/02/2016,10.90
05/11/2015,10.20
05/08/2015,10.30
05/05/2015,10.20
05/02/2015,10.20
05/11/2014,9.10
05/08/2014,7.30
05/05/2014,7.10
06/02/2014,7.30
05/11/2013,3.90
05/08/2013,3.70
06/05/2013,4.60
05/02/2013,4.50
05/11/2012,3.30
06/08/2012,4.00
07/05/2012,5.40
06/02/2012,3.20
07/11/2011,3.80
05/08/2011,3.80
05/05/2011,4.50
08/02/2011,6.20
05/11/2010,6.20
05/08/2010,8.00
05/05/2010,8.90
05/02/2010,8.20
05/11/2009,11.90
05/08/2009,10.10
05/05/2009,8.90
05/02/2009,10.00
05/11/2008,15.40
05/08/2008,11.10
05/05/2008,17.30
