date,close
05/05/2021,11.85
05/02/2021,10.50
05/11/2020,9.00
05/08/2020,11.30
05/05/2020,3.65
05/02/2020,5.00
05/11/2019,4.14
05/08/2019,5.09
06/05/2019,5.26
05/11/2018,6.46
06/08/2018,6.38
07/05/2018,7.77
05/02/2018,7.19
06/11/2017,7.40
07/08/2017,8.84
05/05/2017,8.78
06/02/2017,4.20
07/11/2016,4.32
05/08/2016,4.60
05/05/2016,4.70
05/02/2016,5.60
05/11/2015,6.00
05/08/2015,5.20
05/05/2015,5.10
05/02/2015,4.20
05/11/2014,4.00
05/08/2014,4.80
05/05/2014,4.40
06/02/2014,4.30
05/11/2013,2.80
05/08/2013,3.60
08/05/2013,3.90
05/02/2013,3.20
05/11/2012,2.60
06/08/2012,4.70
07/05/2012,5.30
06/02/2012,3.80
07/11/2011,4.90
05/08/2011,4.90
05/05/2011,6.40
08/02/2011,10.30
05/11/2010,10.70
05/08/2010,13.90
05/05/2010,16.40
05/02/2010,11.50
05/11/2009,18.30
05/08/2009,11.70
05/05/2009,10.50
05/02/2009,8.70
05/11/2008,10.90
05/08/2008,12.60
05/05/2008,14.00
