date,close
05/05/2021,30.00
05/02/2021,26.00
05/11/2020,14.30
05/08/2020,8.50
05/05/2020,4.80
05/02/2020,5.80
05/11/2019,5.70
05/08/2019,6.70
06/05/2019,8.30
05/11/2018,9.40
06/08/2018,6.80
07/05/2018,7.20
05/02/2018,9.30
06/11/2017,7.30
07/08/2017,8.00
05/05/2017,6.80
06/02/2017,6.30
07/11/2016,6.10
05/08/2016,6.60
05/05/2016,7.80
05/02/2016,6.30
05/11/2015,7.60
05/08/2015,9.80
05/05/2015,10.00
05/02/2015,24.90
05/11/2014,49.00
05/08/2014,26.60
05/05/2014,12.00
06/02/2014,9.40
05/11/2013,6.00
05/08/2013,8.00
06/05/2013,8.40
05/02/2013,8.90
05/11/2012,7.60
06/08/2012,12.50
07/05/2012,15.20
06/02/2012,4.00
07/11/2011,4.20
05/08/2011,6.20
05/05/2011,9.20
08/02/2011,9.30
05/11/2010,7.90
05/08/2010,16.80
05/05/2010,22.10
05/02/2010,22.90
