date,close
05/05/2021,10.10
05/02/2021,9.81
05/11/2020,11.00
05/08/2020,11.25
05/05/2020,9.06
05/02/2020,9.50
05/11/2019,12.55
05/08/2019,14.00
06/05/2019,14.45
05/11/2018,17.00
06/08/2018,15.20
07/05/2018,14.15
05/02/2018,14.30
06/11/2017,13.80
07/08/2017,18.80
05/05/2017,21.00
06/02/2017,31.95
07/11/2016,34.70
05/08/2016,29.60
05/05/2016,26.60
05/02/2016,31.00
05/11/2015,30.30
05/08/2015,33.00
05/05/2015,37.80
05/02/2015,42.40
05/11/2014,48.50
05/08/2014,45.40
05/05/2014,51.50
06/02/2014,46.50
05/11/2013,50.00
05/08/2013,44.90
06/05/2013,35.70
05/02/2013,25.80
05/11/2012,22.90
06/08/2012,26.30
07/05/2012,25.10
06/02/2012,20.00
07/11/2011,21.00
05/08/2011,20.40
05/05/2011,18.00
08/02/2011,30.10
05/11/2010,29.10
05/08/2010,34.00
05/05/2010,59.50
05/02/2010,45.00
05/11/2009,52.50
05/08/2009,45.10
05/05/2009,19.60
05/02/2009,17.30
05/11/2008,20.00
05/08/2008,41.50
