date,close
05/05/2021,5.55
05/02/2021,5.50
05/11/2020,4.25
05/08/2020,4.40
05/05/2020,3.68
05/02/2020,3.93
05/11/2019,4.29
05/08/2019,4.93
06/05/2019,6.09
05/11/2018,6.04
06/08/2018,7.75
07/05/2018,9.35
05/02/2018,12.00
06/11/2017,12.60
07/08/2017,11.90
05/05/2017,11.85
06/02/2017,6.60
07/11/2016,6.58
05/08/2016,8.50
05/05/2016,10.30
05/02/2016,9.50
05/11/2015,8.10
05/08/2015,8.00
05/05/2015,11.30
05/02/2015,10.20
05/11/2014,8.40
05/08/2014,7.50
05/05/2014,8.10
06/02/2014,9.00
05/11/2013,5.60
05/08/2013,4.90
06/05/2013,4.70
05/02/2013,4.70
05/11/2012,3.90
06/08/2012,5.60
07/05/2012,8.40
06/02/2012,3.80
07/11/2011,7.00
05/08/2011,10.30
05/05/2011,14.70
08/02/2011,22.50
05/11/2010,21.40
05/08/2010,34.80
05/05/2010,59.50
05/02/2010,61.50
05/11/2009,81.00
