date,close
05/05/2021,12.25
05/02/2021,12.20
05/11/2020,10.45
05/08/2020,9.60
05/05/2020,10.60
05/02/2020,16.30
05/11/2019,15.25
05/08/2019,15.80
06/05/2019,15.70
05/11/2018,15.45
06/08/2018,15.80
07/05/2018,17.85
05/02/2018,17.00
06/11/2017,16.90
07/08/2017,17.90
05/05/2017,15.25
06/02/2017,13.00
07/11/2016,11.60
05/08/2016,13.40
05/05/2016,12.60
05/02/2016,13.30
05/11/2015,13.80
05/08/2015,14.40
05/05/2015,12.80
05/02/2015,13.00
05/11/2014,12.50
05/08/2014,10.50
05/05/2014,11.50
06/02/2014,10.70
05/11/2013,8.40
05/08/2013,9.70
06/05/2013,8.50
05/02/2013,8.60
05/11/2012,6.40
06/08/2012,7.80
07/05/2012,9.80
06/02/2012,7.10
07/11/2011,8.40
05/08/2011,8.50
05/05/2011,10.80
08/02/2011,13.70
05/11/2010,15.00
05/08/2010,22.00
05/05/2010,19.50
05/02/2010,15.70
05/11/2009,22.80
05/08/2009,13.60
05/05/2009,13.00
05/02/2009,13.10
05/11/2008,15.80
05/08/2008,15.00
05/05/2008,25.90
