Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua,Ban
0,2021/1/0/0,401544220126.0,722707080677.0,1353863397258.0,497816749289.0,185264913300.0,1664277407668.0,1358216706935.0,3523858987275.0,1542750180000.0,1542750180000.0,41.2,52.8
1,2020/4/0/0,298006427613.0,565006691131.0,1167920587078.0,437921796024.0,65250000000.0,1798600608580.0,1642564279739.0,3818346993199.0,,1542750180000.0,38.6,39.2
2,2020/3/0/0,187433230555.0,484246940290.0,839545658414.0,309727280326.0,141728973946.0,1790553114553.0,1825807554088.0,3910064555701.0,1542750180000.0,1542750180000.0,24.5,35.25
3,2020/2/0/0,472778728762.0,1130639194603.0,1834611750632.0,409674306187.0,105199683153.0,1787129047237.0,2191587094680.0,4300218225106.0,1542750180000.0,1542750180000.0,20.55,22.8
4,2020/1/0/0,233490766157.0,658498462255.0,1081711458225.0,632810822597.0,527204978074.0,1734832461762.0,2934257561935.0,5942999916590.0,,1186812890000.0,23.8,19.65
5,2019/4/0/0,230302606520.0,790514889159.0,1208882821276.0,409178288383.0,38441826891.0,2270014652310.0,3037143806605.0,5282376471043.0,1186812890000.0,1186812890000.0,27.25,23.4
6,2019/3/0/0,278535201803.0,755689988626.0,1238823351631.0,425558517611.0,55081437170.0,2040673672490.0,3394185877960.0,5564810033735.0,,1186812890000.0,35.65,26.6
7,2019/2/0/0,238700200902.0,544576602389.0,945291514082.0,972306784132.0,315042566170.0,1852038715257.0,3652174931781.0,2881528856520.0,,1186812890000.0,36.6,35.35
8,2019/1/0/0,265069537801.0,476519451550.0,901223235835.0,536141938304.0,117581112704.0,1866356644129.0,3774728375829.0,3714944323101.0,949520360000.0,949520360000.0,37.95,37.25
9,2018/4/0/0,527893263114.0,1075540890768.0,1858155431924.0,651648200165.0,111243899704.0,2129234133020.0,3757920197491.0,2256100087632.0,949520360000.0,949520360000.0,36.9,39.5
10,2018/3/0/0,143895840429.0,489438103828.0,696296096839.0,682321230836.0,106293253476.0,1365852125461.0,3990056817605.0,1488343070462.0,949520360000.0,949520360000.0,34.25,37.4
11,2018/2/0/0,9702963984.0,269393670206.0,382822764850.0,393080947288.0,59090958150.0,1345172852999.0,3684342604324.0,1326650670405.0,,759680800001.0,34.0,33.8
12,2018/1/0/0,34544171112.0,128089843710.0,225223374333.0,364380612219.0,55010598453.0,1151238473323.0,3205697297909.0,1257309560265.0,,759680800001.0,39.7,34.0
13,2017/4/0/0,266852825399.0,805952717363.0,1202789651205.0,717422564297.0,18122062749.0,1059137434586.0,2980035117622.0,1445043872858.0,,759680800000.0,41.1,39.8
14,2017/3/0/0,6085015896.0,247125033849.0,310200218998.0,410887348618.0,18122062749.0,1069158411468.0,2955278322437.0,2370644248253.0,,759680800000.0,30.3,41.6
15,2017/2/0/0,5262685866.0,513862315785.0,727782051022.0,1303689415637.0,41661329765.0,833730549047.0,2727103465512.0,2148256125377.0,,759680800000.0,31.8,32.0
16,2017/1/0/0,5088749046.0,83349102799.0,166322209999.0,988882834604.0,47792653820.0,1263701609014.0,2599742200701.0,2837427158810.0,,759680800000.0,28.8,30.4
17,2016/4/0/0,163102725361.0,787528049860.0,1179571993879.0,725252707799.0,54534242621.0,872365596684.0,2442680679993.0,2632714529399.0,,759680800000.0,24.45,28.55
18,2016/3/0/0,66730144468.0,297348241997.0,430826518820.0,761739641861.0,20002601464.0,771469430233.0,2121552115112.0,2628758135019.0,,759680800000.0,23.6,24.3
19,2016/2/0/0,42080961689.0,153050829691.0,235017955368.0,390363662162.0,144807403550.0,847754294351.0,729688516490.0,2419700175887.0,,690634240000.0,28.8,23.2
20,2016/1/0/0,4867689452.0,96135712499.0,107639067384.0,216722253621.0,76245128689.0,433027783652.0,1325174129285.0,1055930706065.0,690634240000.0,690634240000.0,28.2,29.2
21,2015/4/0/0,50410849914.0,507940354223.0,579346123252.0,599645345077.0,197210932772.0,426257252629.0,927001308492.0,1027909780908.0,684118840000.0,684118840000.0,28.0,27.2
22,2015/3/0/0,82312066751.0,616888914704.0,751519782694.0,208550700877.0,151744673974.0,228516523170.0,983707481666.0,1056572505661.0,651542050000.0,651542050000.0,24.8,23.9
23,2015/2/0/0,14612793461.0,110496493470.0,130610746896.0,321625244242.0,44008320349.0,297917198907.0,1170127412419.0,1379015625571.0,651542050000.0,651542050000.0,28.1,25.2
