Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua,Ban
0,2021/1/0/0,148718111.0,14817747214.0,17155924023.0,5706353033.0,3299624609.0,348837046347.0,319993907404.0,527675013824.0,575100000000,575100000000.0,3.1,2.86
1,2020/4/0/0,-3449914363.0,33836881681.0,39747481704.0,1820363311.0,11643864163.0,344595984243.0,302855116196.0,507847038202.0,575100000000,575100000000.0,2.61,3.07
2,2020/3/0/0,1208492840.0,39192498676.0,42014148949.0,14625937700.0,11594703155.0,357554152969.0,294720614633.0,610797568661.0,575100000000,575100000000.0,1.67,2.75
3,2020/2/0/0,466799213.0,17363182685.0,22976426288.0,10829891579.0,11850086225.0,345826072927.0,300504414410.0,618387021886.0,575100000000,575100000000.0,1.66,1.61
4,2020/1/0/0,551006503.0,16785326041.0,20474971144.0,2527543422.0,11833827291.0,352473054117.0,297957969181.0,615402630953.0,575100000000,575100000000.0,1.6,1.57
5,2019/4/0/0,10148498695.0,27655840112.0,35077452336.0,4291840847.0,10739252000.0,475592586741.0,290096800286.0,682429778324.0,575100000000,575100000000.0,1.7,1.49
6,2019/3/0/0,988146333.0,44231422791.0,52329439957.0,2703188807.0,10742932800.0,509262586066.0,327607253914.0,837645521667.0,575100000000,575100000000.0,2.17,1.63
7,2019/2/0/0,426248244.0,44204812975.0,51999828928.0,11403165853.0,10750294400.0,386428708451.0,308294529373.0,690213521330.0,575100000000,575100000000.0,1.96,1.8
8,2019/1/0/0,305899290.0,5092763689.0,7956172693.0,1913768686.0,10779740800.0,363021345224.0,305462002773.0,621185448077.0,575100000000,575100000000.0,2.68,1.95
9,2018/4/0/0,1364243730.0,35601170703.0,39846354157.0,6741307327.0,265017600.0,350879028851.0,364931219269.0,618661413086.0,575100000000,575100000000.0,2.2,2.7
10,2018/3/0/0,-1612440862.0,17534840576.0,22410576974.0,16758061738.0,334952800.0,371960300734.0,316703569906.0,615156889971.0,575100000000,575100000000.0,2.71,2.3
11,2018/2/0/0,1383954733.0,13149667007.0,18894933131.0,4096732199.0,280768000.0,711285897719.0,400844494661.0,950845952915.0,575100000000,575100000000.0,3.07,2.85
12,2018/1/0/0,820960218.0,22464711491.0,25611804396.0,4624372044.0,342250000.0,657633227111.0,400090216029.0,747194181574.0,575100000000,575100000000.0,3.5,3.0
13,2017/4/0/0,-1087755322.0,25191737793.0,16145252978.0,11537811882.0,318432000.0,705560312209.0,406147426429.0,812929367069.0,575100000000,575100000000.0,3.7,3.7
14,2017/3/0/0,-2131589633.0,30706658453.0,51764556819.0,43326841434.0,273920000.0,687503485759.0,401388663821.0,918072234597.0,575100000000,575100000000.0,3.65,3.5
15,2017/2/0/0,5057075063.0,18798808600.0,25051211977.0,7123560061.0,260224000.0,599717656943.0,408429034888.0,831399116779.0,575100000000,575100000000.0,3.94,3.74
16,2017/1/0/0,840616631.0,34651887070.0,37778291092.0,17877011127.0,157504000.0,611005081495.0,404133915075.0,851410566005.0,575100000000,575100000000.0,2.64,3.59
17,2016/4/0/0,1889448270.0,83054573606.0,85936864118.0,12240784017.0,157504000.0,616609357202.0,403898655394.0,871520495755.0,575100000000,575100000000.0,2.14,2.18
18,2016/3/0/0,645194667.0,65146560183.0,74925447169.0,12654545880.0,13952119950.0,615770754831.0,413106573994.0,973102320530.0,575100000000,575100000000.0,2.1,2.01
19,2016/2/0/0,4292416393.0,94540296328.0,108780235769.0,10095469728.0,20181590900.0,624057113497.0,426261476942.0,1004367385168.0,575100000000,575100000000.0,2.6,2.13
20,2016/1/0/0,2358771575.0,55710506315.0,60070323838.0,61478213312.0,20190521600.0,582983378092.0,532701930390.0,1011706476401.0,575100000000,575100000000.0,3.1,2.7
21,2015/4/0/0,11945561466.0,46638142609.0,78303788229.0,137301280085.0,20193498500.0,545832207432.0,553795563113.0,1056262926446.0,575100000000,575100000000.0,3.4,3.2
22,2015/3/0/0,0.0,49294678921.0,59019772103.0,24381699505.0,15199452300.0,580690208366.0,759956839128.0,1242372445554.0,575100000000,575100000000.0,4.8,3.4
23,2015/2/0/0,1299069715.0,70395738218.0,87008204295.0,18197519325.0,15536218777.0,555715443983.0,775740148307.0,1209018674109.0,575100000000,575100000000.0,5.4,4.8
24,2015/1/0/0,9456195451.0,129848526917.0,151802485521.0,2976524941.0,12569818956.0,537330329271.0,588051391149.0,986588237960.0,575100000000,575100000000.0,5.1,5.4
25,2014/4/0/0,4843950028.0,479863663610.0,504601025767.0,26140430913.0,13644434456.0,522434645067.0,687445637101.0,1154722883021.0,0,575100000000.0,6.2,5.4
26,2014/3/0/0,0.0,255797917971.0,278604758153.0,24225368299.0,13900774800.0,606963929754.0,963963161974.0,1200766311415.0,0,575100000000.0,7.5,6.2
27,2014/2/0/0,22992611182.0,241515745796.0,269263159268.0,70806538907.0,1804359300.0,579824460997.0,1094831721750.0,1290114676740.0,0,575100000000.0,6.5,7.6
28,2014/1/0/0,5254492884.0,145532592239.0,146945196057.0,91776478416.0,2096235900.0,623841744703.0,1284978803062.0,1658164879185.0,0,575100000000.0,6.7,6.3
29,2013/4/0/0,-171980464449.0,302613294418.0,197341406534.0,31551324226.0,205406100.0,699974517466.0,1194996704832.0,1605874539138.0,0,575100000000.0,5.6,6.9
30,2013/3/0/0,-707422757.0,100918945500.0,101725971785.0,24391799118.0,1401506100.0,601950865394.0,1159501799154.0,1467773405229.0,0,575100000000.0,4.3,5.6
31,2013/2/0/0,360975987.0,221058256987.0,223192950045.0,31196918608.0,1401506100.0,559069180915.0,1109975801946.0,1485842886413.0,0,575100000000.0,3.8,3.9
32,2013/1/0/0,407222794.0,278444192269.0,279992203159.0,20342825560.0,720043412.0,611933803462.0,1077998373137.0,1559614587078.0,0,575100000000.0,3.9,3.8
33,2012/4/0/0,2150827386.0,636829193652.0,650238993868.0,67884659941.0,6978660200.0,573164445965.0,1036819972410.0,1475297013107.0,0,575100000000.0,4.7,3.6
34,2012/3/0/0,-755071016.0,426819153746.0,430454744550.0,41668728718.0,18668526400.0,571105536315.0,1013556480478.0,1490496671839.0,0,575100000000.0,3.7,4.8
35,2012/2/0/0,687113305.0,476371080086.0,486712940176.0,166070117191.0,114052854174.0,475610645584.0,771379381043.0,1283953289517.0,0,575100000000.0,6.0,3.8
36,2012/1/0/0,543377925.0,335851414993.0,340743176625.0,211575416845.0,83049660600.0,507524753368.0,768631007524.0,1284147655601.0,0,575100000000.0,8.0,5.8
37,2011/4/0/0,-413283405.0,347023076832.0,351918712807.0,29756838620.0,242313482361.0,584731837092.0,663359209009.0,1217920696089.0,0,575100000000.0,5.6,7.4
38,2011/3/0/0,325364893.0,518289865662.0,529346693893.0,40178713547.0,276157381900.0,598841163669.0,624260484409.0,1132350423016.0,0,575100000000.0,9.5,5.5
39,2011/2/0/0,-7873556670.0,331684063246.0,336858089844.0,303269327598.0,48894191000.0,573057756801.0,572517694289.0,947006777413.0,0,575100000000.0,10.0,9.8
40,2011/1/0/0,18281667726.0,321495933945.0,352240568605.0,516201899669.0,66867853419.0,497268121257.0,571240884461.0,985506491964.0,0,546000000000.0,13.0,10.1
41,2010/4/0/0,7920736200.0,359043757520.0,385848365648.0,364508958954.0,66867853419.0,615203714944.0,589022968384.0,932007473537.0,0,546000000000.0,14.4,13.0
42,2010/3/0/0,0.0,100363086581.0,114948887050.0,16779348495.0,42449951000.0,455099704116.0,494029846897.0,718607540824.0,0,188053000000.0,17.5,14.4
43,2010/2/0/0,19456894869.0,160414438670.0,195688475529.0,8520218751.0,62969546547.0,444768703302.0,437686049961.0,678091296360.0,0,188000000000.0,36.7,17.8
44,2010/1/0/0,12879390832.0,73673944111.0,81374863807.0,21875933183.0,116723642800.0,280390962679.0,402407337689.0,557699536091.0,0,168000000000.0,59.5,40.0
45,2009/4/0/0,0.0,261748695009.0,314769301814.0,41284421495.0,115337092600.0,293175427163.0,337948952046.0,566157353971.0,0,145199930000.0,31.8,58.5
46,2009/3/0/0,0.0,106103726720.0,119869284598.0,40207042104.0,125000120000.0,300709479553.0,442542826376.0,662242030110.0,0,132000000000.0,56.5,33.7
47,2009/2/0/0,0.0,158160301528.0,173460968206.0,49450944069.0,50172320000.0,368554113289.0,391741963126.0,612014856720.0,0,132000000000.0,,52.0
48,2009/1/0/0,14238520281.0,76675853992.0,79955342896.0,,,,,,0,,,
49,2008/4/0/0,5911693413.0,265012997388.0,298318248934.0,,,,,,0,,,
50,2008/3/0/0,5335187914.0,196930949305.0,211316970340.0,,,,,,0,,,
51,2008/2/0/0,,,,,,,,,0,,,
52,2008/1/0/0,,,,,,,,,0,,,
