Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua,Ban
0,2021/1/0/0,13321250512,28563917518,50005348029,175229998169,,249574638847,1229410274753,569296237606,609899500000.0,609899500000.0,24.5,29.8
1,2020/4/0/0,158794675728,118211456189,336104667707,288288757537,,262903885206,1160577538864,544199383396,609899500000.0,609899500000.0,23.25,23.95
2,2020/3/0/0,83572119501,55748052360,173707893077,255344439334,,268647589097,1191383080105,706964010307,609899500000.0,609899500000.0,17.7,22.65
3,2020/2/0/0,42232412481,41823014771,101475816840,73277671244,,313759909242,1159997296028,622463185338,609899500000.0,609899500000.0,15.25,17.45
4,2020/1/0/0,12069825308,20674976176,41564446445,118232792948,,320709687046,1060395625274,565887984973,636000000000.0,636000000000.0,16.95,15.1
5,2019/4/0/0,91584406155,98495553543,236609114083,143062937393,,311516866310,1024467984998,374761399952,636000000000.0,636000000000.0,20.8,16.85
6,2019/3/0/0,22909583740,99702077620,144710160787,133188861594,,301068659241,974512516066,471926371024,636000000000.0,636000000000.0,22.6,21.35
7,2019/2/0/0,84062818857,201723075536,317571717542,135614388868,,252737643578,978235013558,447564117477,636000000000.0,636000000000.0,25.8,22.65
8,2019/1/0/0,36073740944,78028972079,135749149799,151205767536,32415673425.0,229530175593,1088772888697,555662870118,636000000000.0,636000000000.0,23.0,25.6
9,2018/4/0/0,64386653732,350031343683,440646799081,111926689393,136090846373.0,269508534548,1131895676374,538721835877,636000000000.0,636000000000.0,18.0,23.95
10,2018/3/0/0,20892072511,186955233668,217589593191,105149732931,33160922999.0,151515928227,1341616964708,606059268475,636000000000.0,636000000000.0,12.35,18.0
11,2018/2/0/0,7880352186,35611840516,48425781638,100895952922,4242336000.0,177384423207,1409547059667,674524833980,636000000000.0,636000000000.0,9.75,10.55
12,2018/1/0/0,9373003242,21685882789,38049778067,115923655045,428829000.0,145054840209,1293053947849,509628743977,636000000000.0,636000000000.0,9.61,9.99
13,2017/4/0/0,31121076476,82636006397,60786419217,138735353868,1051960500.0,134754114967,705849074853,600667206281,,636000000000.0,9.0,9.5
14,2017/3/0/0,54421388758,125860294954,196723253159,48475360120,3521981451.0,209788646467,766885935935,528254114374,636000000000.0,636000000000.0,9.71,9.93
15,2017/2/0/0,5874960232,7953720224,19446677688,35265615868,2008155302.0,160436216583,1152749838665,557501273850,,636000000000.0,10.05,9.8
16,2017/1/0/0,1958076295,18647075345,28729653543,48791900490,4141780308.0,198199969931,878077202658,448427306307,636000000000.0,636000000000.0,10.35,9.82
17,2016/4/0/0,51440134071,134617388289,145640113371,51131502985,254022000.0,165774747679,645127271847,361050952694,636000000000.0,636000000000.0,9.15,9.3
18,2016/3/0/0,20509858529,28125295903,44523431927,40005036944,247257500.0,140738229959,819766686367,206977785572,636000000000.0,636000000000.0,9.5,9.21
19,2016/2/0/0,6316242931,97706563544,111119979677,135412370668,781670000.0,119517099811,826194570821,184595433190,636000000000.0,636000000000.0,9.7,9.51
20,2016/1/0/0,2013587662,29682950323,36429844177,63026988432,353254000.0,99805314599,954564407442,266356534404,636000000000.0,636000000000.0,9.8,10.0
21,2015/4/0/0,49207340439,183855856492,255012300960,57802187159,449072000.0,107960364305,963549473995,274648556219,636000000000.0,636000000000.0,12.3,9.6
22,2015/3/0/0,23462939003,75030679679,109896195153,110102101222,623564000.0,95586298246,919631663001,174281328423,636000000000.0,636000000000.0,14.3,12.6
23,2015/2/0/0,20470179010,70375466591,102240068681,30368136554,127067698330.0,91175002224,1043323649331,199530119105,636000000000.0,636000000000.0,14.9,14.6
24,2015/1/0/0,1598692223,17037412702,22042040261,25696608850,9169445823.0,108020620760,1067559047947,247043270583,636000000000.0,636000000000.0,11.0,14.1
25,2014/4/0/0,15881752142,43793149268,65257184273,87684500522,811953000.0,86914729229,1052085101908,472496151707,0.0,636000000000.0,13.1,11.0
26,2014/3/0/0,12270872690,46572981957,58663926332,95391599207,837420000.0,58604859461,1052552650579,490840980962,0.0,636000000000.0,15.5,13.4
27,2014/2/0/0,310748388,46925786211,59140179267,89569594307,783260000.0,63707137516,1073296025131,541337619149,0.0,636000000000.0,14.7,15.7
28,2014/1/0/0,8867138593,34068424469,40911478485,69103594881,574000000.0,66894689364,955367669632,416034239008,0.0,636000000000.0,14.5,14.5
29,2013/4/0/0,55883673464,110997455968,151414351421,124691611417,477440000.0,72827471128,962992400837,426213038603,0.0,636000000000.0,15.8,15.0
30,2013/3/0/0,10318284059,55005566650,72702570611,185442098356,550180000.0,96759759720,1039374729034,621163030130,0.0,636000000000.0,14.2,15.8
31,2013/2/0/0,19323313051,122022734241,153967487286,224089503076,628900000.0,85056805092,1061030149937,674938038528,0.0,636000000000.0,12.2,13.7
32,2013/1/0/0,5826025426,60547233794,71776633736,208328077160,636574000.0,100040076375,1143961598926,774493557505,0.0,636000000000.0,13.5,11.8
33,2012/4/0/0,32067122084,153226531898,194597635065,248517036904,586600000.0,129953399479,1147638706821,758215458048,0.0,636000000000.0,16.8,12.7
34,2012/3/0/0,-1927107611,109154251058,136115610604,230851024256,1181220000.0,171337329399,1171382507644,858595827364,0.0,636000000000.0,13.3,16.3
35,2012/2/0/0,5133066627,-36401905544,-27736478455,263530166852,1017520000.0,280352585333,1278629259044,1129422384316,0.0,636000000000.0,20.1,14.0
36,2012/1/0/0,18025683298,330080603021,363167968414,281314097105,679736190.0,387659645140,1218563846443,1173575725280,0.0,636000000000.0,25.8,19.6
37,2011/4/0/0,16426391746,173933095069,199398883774,370222836675,480100000.0,367419128446,1200517333944,1222366712772,0.0,636000000000.0,13.4,25.0
38,2011/3/0/0,23706164575,84328444708,100975718742,495624430400,38114513581.0,372578587893,1018715876104,1061296716895,0.0,636000000000.0,19.1,13.3
39,2011/2/0/0,13125949216,143352292914,183751262720,535485313119,41947420000.0,280056496858,1013969592901,1007931690357,0.0,636000000000.0,17.6,20.3
40,2011/1/0/0,39898901975,46449570387,93806036398,814136344805,1516537250.0,230191851328,990964469463,1184268612123,0.0,328000000000.0,50.5,17.6
41,2010/4/0/0,251535773379,249625170442,579291813560,883509132413,19899239165.0,330997773173,803300135265,1163442162858,0.0,328000000000.0,69.5,49.7
42,2010/3/0/0,91996775187,208847649159,324037519298,740288447389,11861680000.0,248836066360,618585501847,795040711945,0.0,328000000000.0,65.5,69.5
43,2010/2/0/0,235263149561,156291727041,469444113986,722567593530,84676556000.0,234372214862,602737199025,903913854864,0.0,328000000000.0,76.5,64.5
44,2010/1/0/0,4043982709,25276586110,27244021542,347093734137,861680000.0,221168117740,560743911416,658285663177,0.0,164000000000.0,166.0,77.0
45,2009/4/0/0,249091061169,315786040390,641034346481,373830844176,861680000.0,177816893763,493954859433,628723517476,0.0,164000000000.0,137.0,177.0
46,2009/3/0/0,176711412344,176557790462,434814491269,389465395925,861680000.0,236174543475,573502512588,930606927746,0.0,164000000000.0,139.0,134.0
47,2009/2/0/0,88370468727,160405372285,277982599017,201969899501,861680000.0,227314334304,641542101406,880614192451,0.0,164000000000.0,85.5,135.0
48,2009/1/0/0,5278487791,11362553726,19839068799,120339783316,861680000.0,187576028795,684996897157,811292109728,0.0,164000000000.0,35.2,80.5
49,2008/4/0/0,90229978649,182528374319,311452947257,65729864841,5000000000.0,135430949965,623315298107,697152795091,0.0,164000000000.0,30.3,35.0
50,2008/3/0/0,6313845563,44689041391,53170608471,61622307503,,174766590292,434143287026,609639510265,0.0,164000000000.0,42.0,33.5
51,2008/2/0/0,1780671429,19446234891,64502276114,31522908542,,175858047692,369998260159,480461754567,0.0,164000000000.0,36.9,36.5
52,2008/1/0/0,404390613,6006507699,6376275481,8894467038,56636520099.0,175879371450,296107773944,384862878686,0.0,82000000000.0,90.5,36.0
