Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua,Ban
0,2021/1/0/0,736214873615.0,34853306068986.0,38247060753902.0,9637237339038.0,9227959098575.0,9821370405165.0,10411846490518.0,36442182178565.0,12938780810000.0,12938780810000.0,50.8,51.5
1,2020/4/0/0,1006765478479.0,27560242500530.0,31276771675485.0,10623961350697.0,8553715967218.0,7205532262887.0,9420844435377.0,35373458627842.0,12938780810000.0,12938780810000.0,52.0,49.65
2,2020/3/0/0,921142625134.0,24325671675782.0,27461973472934.0,9388181484134.0,8592616595582.0,6436234600523.0,8331104383048.0,32662100080474.0,12938780810000.0,12938780810000.0,48.3,48.5
3,2020/2/0/0,733177864777.0,23957332414263.0,26708900920238.0,12214573514693.0,4935704454487.0,8442498943735.0,8910628105147.0,35334765383575.0,12938780810000.0,12938780810000.0,44.6,48.35
4,2020/1/0/0,-1813156088927.0,38027942431755.0,38477738031826.0,10666166858905.0,4386865013300.0,8378636168059.0,6759485858626.0,31387451629179.0,12938780810000.0,12938780810000.0,41.95,43.75
5,2019/4/0/0,1132153861555.0,45782434192678.0,49339524072537.0,11278868627575.0,5397276850139.0,8386949560558.0,11777433708967.0,34234365115487.0,12938780810000.0,12938780810000.0,52.0,40.1
6,2019/3/0/0,1112213868709.0,45262961731982.0,48640101188443.0,8202713677416.0,8193573158953.0,8497404678288.0,9866378884455.0,31339903516434.0,12938780810000.0,12938780810000.0,59.2,51.0
7,2019/2/0/0,1250702589420.0,46190627393285.0,49734862132424.0,9665987887383.0,5681081323403.0,8310757421096.0,10887860390407.0,33543431368261.0,12938780810000.0,12938780810000.0,61.3,59.4
8,2019/1/0/0,1294487728797.0,38182580119663.0,41960834778535.0,8564010819261.0,7462661838500.0,8910180509758.0,11515692436015.0,32832059779310.0,12938780810000.0,12938780810000.0,61.0,65.0
9,2018/4/0/0,926353816743.0,45790701204887.0,49089861129149.0,10226751168755.0,4708107680500.0,7477239532821.0,10296992521125.0,30779950925043.0,12938780810000.0,12938780810000.0,55.6,62.5
10,2018/3/0/0,890546257526.0,42848885866274.0,46175135473639.0,9904293659601.0,5916203472600.0,10215291273459.0,13528710922603.0,37769149312265.0,12938780810000.0,12938780810000.0,60.3,53.5
11,2018/2/0/0,1275133420087.0,47178494928944.0,51326660156850.0,15607660804026.0,3020876688400.0,8614137607412.0,15915575360597.0,42834940661726.0,12938780810000.0,12938780810000.0,63.9,58.1
12,2018/1/0/0,1003205072389.0,42219668157921.0,45430288199407.0,15165331946068.0,2069735678014.0,8952592933502.0,14627363329288.0,37922492359437.0,12938780810000.0,12938780810000.0,66.5,61.3
13,2017/4/0/0,1078293985102.0,40160975797104.0,43224000162138.0,14481021387114.0,4902064493911.0,8357515499576.0,12686660134103.0,39600170720051.0,12938780810000.0,12938780810000.0,76.0,66.0
