Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua,Ban
0,2021/1/0/0,512612208810.0,5856651852958.0,7181771463337.0,213388374979.0,,120418640082.0,6420735030803.0,2374110981390.0,1605080895632.0,2276123620000.0,96.0,95.6
1,2020/4/0/0,427301574221.0,4665569863768.0,5842951745863.0,422234781061.0,,100363015565.0,6544772899429.0,3232132159428.0,,2276123620000.0,80.9,95.2
2,2020/3/0/0,202085876099.0,3188043827778.0,3922373882414.0,232282631402.0,,152348983567.0,6325882645841.0,3179894880715.0,,2252935850000.0,73.3,78.8
3,2020/2/0/0,31660485158.0,2271304837096.0,2744802199607.0,229987203630.0,,124646558120.0,6429976715037.0,3452120892059.0,2252935850000.0,2252935850000.0,55.6,71.5
4,2020/1/0/0,408262169783.0,3951333995980.0,5000890417625.0,302103503463.0,,139070900485.0,6588676104694.0,3396056647583.0,,2252935850000.0,56.5,52.8
5,2019/4/0/0,384803198848.0,4298771153390.0,5321342260908.0,95224439008.0,,138567465634.0,7018737129550.0,4018438893791.0,2252935850000.0,2252935850000.0,83.9,56.5
6,2019/3/0/0,207993358183.0,3180963642552.0,3934018649882.0,96330641186.0,,329967505655.0,5892523509005.0,3493714449260.0,,2226679600000.0,85.0,82.8
7,2019/2/0/0,169151564268.0,2326094975065.0,2961828580037.0,121615518832.0,,220781075435.0,4931535481045.0,2423437465465.0,,2226679600000.0,83.8,83.3
8,2019/1/0/0,428746315280.0,3734137817255.0,4783491589696.0,94972214431.0,,263389389780.0,4643581939618.0,2096859969567.0,,1670029820000.0,101.9,78.2
9,2018/4/0/0,265778528957.0,3238843432455.0,4064947169926.0,206721179629.0,,175780393688.0,4815524650057.0,2542367769611.0,,1670029820000.0,97.5,103.0
10,2018/3/0/0,177687880949.0,2550829399062.0,3150849210374.0,117587302131.0,,171250035910.0,4124177973673.0,2072792761269.0,,1621393240000.0,97.0,94.6
11,2018/2/0/0,180436267105.0,2634537690306.0,3217439763256.0,96738062787.0,65000000.0,125498489397.0,3936094231986.0,1747623490460.0,,1621393240000.0,93.5,95.0
12,2018/1/0/0,336260260434.0,3369430601006.0,4139453113529.0,81899944010.0,65000000.0,108604897949.0,3607975543026.0,1403604033119.0,,1081020340000.0,182.9,94.0
13,2017/4/0/0,221845744364.0,2656414506248.0,3221663263361.0,335208552187.0,65000000.0,84889368233.0,3401959226624.0,1523407124858.0,,1081020340000.0,140.9,171.0
14,2017/3/0/0,126078968097.0,1883097446086.0,2279274070074.0,111657001658.0,160065000000.0,83624988524.0,3051807804935.0,1313200322941.0,,1081020340000.0,108.0,149.0
15,2017/2/0/0,128952387444.0,1944924302800.0,2344923773387.0,39711956214.0,,77491735468.0,2883130982100.0,1773655374255.0,,982745770000.0,107.5,107.9
16,2017/1/0/0,248739097079.0,2580113337664.0,3130971057715.0,126661720400.0,,83361232464.0,2846786698766.0,1784913163739.0,,982745770000.0,95.0,105.0
17,2016/4/0/0,94329407210.0,2263053842816.0,2644266378268.0,155348026509.0,65000000.0,68187622387.0,2838689610580.0,2026900704436.0,,982745770000.0,71.2,91.0
18,2016/3/0/0,111248886825.0,1664620125428.0,1982117704397.0,85134930384.0,65000000.0,56593460998.0,2469053128545.0,1585942143513.0,,982745770000.0,68.5,70.5
19,2016/2/0/0,120058401244.0,1316951174780.0,1608183972568.0,34026739688.0,130065000000.0,74362675325.0,2323127119809.0,1573427489187.0,,982745770000.0,65.5,68.2
20,2016/1/0/0,123801600650.0,1908672148295.0,2330022434984.0,34044523513.0,65000000.0,66789405292.0,2256431073630.0,1486987242764.0,,982745770000.0,57.0,63.0
21,2015/4/0/0,-136423668.0,1659343690507.0,2011500326537.0,37884639212.0,65000000.0,48333428942.0,2135224563617.0,1502015428299.0,,982745770000.0,45.0,57.5
22,2015/3/0/0,44605629248.0,1531899737153.0,1795232157798.0,32305517975.0,65000000.0,128208207299.0,2140676690620.0,1585032231919.0,,982745770000.0,32.0,44.5
23,2015/2/0/0,61142473653.0,1457326009354.0,1717843429966.0,26658810975.0,65000000.0,86571755018.0,2260987893633.0,1872576283945.0,,755970350000.0,35.0,31.4
24,2015/1/0/0,114525068239.0,1842341664470.0,2137062856871.0,36710490349.0,65000000.0,68530458361.0,1853868003072.0,1498955611301.0,,755970350000.0,50.5,35.3
25,2014/4/0/0,57819019078.0,1695940414866.0,1927443861466.0,272305336075.0,,74644596219.0,1437415596122.0,1397929825186.0,0.0,755970350000.0,37.5,48.5
26,2014/3/0/0,51553209608.0,2132415030249.0,2347175457177.0,289436318608.0,,236254270120.0,1302049502502.0,1429354639018.0,0.0,755970350000.0,40.0,37.5
27,2014/2/0/0,63759788378.0,2270094421763.0,2470907523330.0,472511893599.0,,76601725569.0,1287960873111.0,1588704215454.0,0.0,755970350000.0,30.2,39.0
28,2014/1/0/0,82684383224.0,2211532674760.0,2453691255579.0,428146003013.0,,81033399054.0,1136739107904.0,1472013802545.0,0.0,755970350000.0,30.5,30.8
29,2013/4/0/0,48882858248.0,2336782924164.0,2540912781903.0,507821745184.0,,77211175171.0,1087344363095.0,1416711387159.0,0.0,755970350000.0,30.2,30.8
30,2013/3/0/0,35954977291.0,2398607435268.0,2551707560185.0,479356624890.0,,74729371767.0,959370646788.0,1379895995832.0,0.0,719978350000.0,27.2,30.2
31,2013/2/0/0,23616414568.0,1912855005089.0,2049511301182.0,237094440410.0,,60089711974.0,859300590011.0,1106687544968.0,0.0,719978350000.0,26.2,27.0
32,2013/1/0/0,65940053237.0,1592763412426.0,1769122014845.0,598866034275.0,2000000000.0,74570510243.0,762822452860.0,1203401744507.0,0.0,719978350000.0,27.2,26.5
33,2012/4/0/0,29281751432.0,1423823148013.0,1535944587432.0,468655700806.0,,47812544678.0,790114748796.0,1126685035417.0,0.0,719978350000.0,31.3,26.4
34,2012/3/0/0,87363484925.0,1364095926059.0,1518868445324.0,623723109921.0,240275000000.0,83379629136.0,788868869807.0,1022054346968.0,0.0,599991420000.0,31.1,31.4
35,2012/2/0/0,39688494374.0,1502075101783.0,1626068817331.0,319441277215.0,105000000000.0,96261396477.0,881930072266.0,1492461243253.0,0.0,599991420000.0,41.0,32.0
36,2012/1/0/0,92219932369.0,1829858926510.0,2035888581336.0,337851641285.0,70300000000.0,116573847457.0,1019062551127.0,856050078340.0,0.0,599991420000.0,41.5,41.0
37,2011/4/0/0,48017531183.0,3005575105708.0,3189191795678.0,454113756514.0,70000000000.0,80249272324.0,963152838996.0,847726421841.0,0.0,599991420000.0,38.5,43.7
38,2011/3/0/0,51007144791.0,6301291533639.0,6498272187352.0,425211119716.0,67746000000.0,359806446796.0,922053843153.0,1136183830474.0,0.0,599991420000.0,35.5,38.2
39,2011/2/0/0,54048143284.0,4401802734182.0,4542449064835.0,405681853200.0,,162692528777.0,880466963412.0,748494045445.0,0.0,599991420000.0,26.3,36.0
40,2011/1/0/0,93870615636.0,3512556320630.0,3737232654547.0,259420673254.0,,128288943248.0,920020984248.0,1363547088824.0,0.0,599991420000.0,27.2,27.2
41,2010/4/0/0,33266411251.0,2641460673503.0,2781172878835.0,328941638790.0,,59864050169.0,759161145726.0,1238046359378.0,0.0,599991420000.0,37.5,27.7
42,2010/3/0/0,60171600507.0,4645948243803.0,4769439056277.0,203562360729.0,,67897688560.0,715868949000.0,936813570349.0,0.0,599991420000.0,34.2,37.5
43,2010/2/0/0,127340180452.0,5921750095791.0,6201977941583.0,307533131502.0,29475000000.0,157647585313.0,657537393629.0,1049607060542.0,0.0,399999210000.0,34.0,34.0
44,2010/1/0/0,62071870461.0,1792288541764.0,1942401855006.0,277734158693.0,29475000000.0,178432591934.0,614269355915.0,1007045197095.0,0.0,399999210000.0,61.5,35.6
45,2009/4/0/0,55171416986.0,1940731497367.0,2060975918670.0,358735565850.0,,137980842402.0,634593369939.0,1009917545223.0,0.0,399999210000.0,56.0,61.0
46,2009/3/0/0,42924507719.0,1195385662219.0,1301125934880.0,312627839710.0,,69234718230.0,464993000741.0,731816172054.0,0.0,399999210000.0,63.0,54.5
47,2009/2/0/0,45475237258.0,2050072310847.0,2144237068553.0,335338534337.0,,140476688981.0,437806557755.0,768216443032.0,0.0,300000000000.0,82.0,63.0
48,2009/1/0/0,75991103023.0,4525168295388.0,4699452963461.0,736805607227.0,26276861000.0,136335177657.0,83041731474.0,799321580180.0,0.0,300000000000.0,51.0,76.5
49,2008/4/0/0,43951001409.0,729710189619.0,835656734877.0,78945646068.0,24131274000.0,56223272684.0,606566302994.0,638698749168.0,0.0,300000000000.0,,52.0
50,2008/3/0/0,39981261389.0,1062425613422.0,1140936179401.0,46951275006.0,15535983320.0,87666031710.0,656528059326.0,604178147228.0,0.0,300000000000.0,,
51,2008/2/0/0,,,,,,,,,0.0,,,
52,2008/1/0/0,,,,,,,,,0.0,,,
