Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua,Ban
0,2021/1/0/0,-2387170232.0,4024926935.0,6267046284.0,5808335838.0,,208637597463.0,67089086356.0,267278283405.0,,200000000000.0,,2.2
1,2020/4/0/0,-5475671042.0,30413689788.0,30949606653.0,2438028707.0,,239023757348.0,69874930842.0,291007505880.0,,200000000000.0,,
2,2020/3/0/0,-1363425135.0,30046159083.0,31288363283.0,3585679731.0,,238325479705.0,64583929456.0,279599751130.0,,200000000000.0,,
3,2020/2/0/0,-3902231708.0,8433444070.0,9069880905.0,2186999106.0,,216087215109.0,73533951115.0,263560504340.0,,200000000000.0,,
4,2020/1/0/0,-3535754738.0,287658193.0,769291606.0,203841341.0,,211545780386.0,69735818812.0,252173606442.0,,200000000000.0,,
5,2019/4/0/0,-13438320.0,32576851089.0,35917709928.0,2940758790.0,,219113136826.0,60337825406.0,250834554249.0,,200000000000.0,,
6,2019/3/0/0,-179244721.0,28938924200.0,37913971353.0,2891063117.0,,208938885738.0,79641806301.0,262299560672.0,,200000000000.0,,
7,2019/2/0/0,-8434411478.0,21746283919.0,21085807110.0,918989797.0,,213635352083.0,84965461091.0,272419288447.0,,200000000000.0,,
8,2019/1/0/0,-14400899855.0,17258116758.0,10841124239.0,4054068963.0,,224433390315.0,75542384908.0,269485834439.0,,200000000000.0,,
9,2018/4/0/0,150468735.0,32968417590.0,41485902735.0,4124374509.0,,260488174834.0,69544082995.0,286621579826.0,,200000000000.0,,
10,2018/3/0/0,110862315.0,88934831965.0,96670202017.0,3448943114.0,,275724815303.0,76252802271.0,311057111672.0,,200000000000.0,,
11,2018/2/0/0,1228969937.0,10449623670.0,22496598398.0,38947630203.0,,235383410219.0,47332364697.0,279083271244.0,,200000000000.0,,
12,2018/1/0/0,405647655.0,17561431849.0,21901424341.0,15113707222.0,,276510095116.0,50996362413.0,303406556290.0,,200000000000.0,,
13,2017/4/0/0,13137269641.0,33004969356.0,54003826294.0,33430523416.0,,285182992293.0,48007937483.0,331412855018.0,,200000000000.0,,
14,2017/3/0/0,2128140501.0,42690514752.0,52058631330.0,31791381405.0,,275908791402.0,63601648426.0,350739541505.0,,200000000000.0,,
15,2017/2/0/0,1435693571.0,26652576785.0,37635654088.0,34465233141.0,,286424118198.0,88087299057.0,381544891536.0,,200000000000.0,,
16,2017/1/0/0,3754188453.0,57081921550.0,70481104495.0,37591510458.0,,267063225045.0,113458446950.0,399412123499.0,,200000000000.0,,
17,2016/4/0/0,2396878036.0,39853215504.0,54240866409.0,42227241638.0,,232626282274.0,81917693562.0,345991189883.0,,200000000000.0,,
18,2016/3/0/0,5596962514.0,70017039335.0,84271135944.0,40837453662.0,,220074780341.0,82962315650.0,340133228414.0,,200000000000.0,,
19,2016/2/0/0,10603808471.0,127329594224.0,149702281915.0,48715952113.0,,209841497827.0,79256860595.0,342231984709.0,,200000000000.0,,
20,2016/1/0/0,12529446145.0,128932222782.0,150373839368.0,74447934606.0,,119163556564.0,55581291672.0,262170520529.0,,200000000000.0,,
21,2015/4/0/0,23333965328.0,76142200991.0,127397192405.0,56068243892.0,,43574497697.0,92655726242.0,213343934276.0,,200000000000.0,,
22,2015/3/0/0,5689368888.0,88514976442.0,105413867172.0,52233390875.0,,143738499948.0,92292752168.0,334954989696.0,,200000000000.0,,
23,2015/2/0/0,1119413888.0,33256031568.0,40471182094.0,68471936285.0,,136121709889.0,69696314811.0,334604076304.0,,200000000000.0,,
24,2015/1/0/0,255688666.0,27818715413.0,34790507754.0,88600423967.0,,127639267800.0,62990349367.0,343240560998.0,,,,
25,2014/4/0/0,-15714734930.0,67799357200.0,64009437313.0,15100010673.0,15440846060.0,116497518471.0,60533525583.0,270396584678.0,0.0,200000000000.0,,
26,2014/3/0/0,-20352046448.0,33458014779.0,24002380543.0,1199021705.0,200000000.0,124541479358.0,106924166110.0,290100790948.0,0.0,200000000000.0,,
27,2014/2/0/0,-107940284318.0,146914164085.0,50497444206.0,2048638840.0,200000000.0,233726628354.0,99657487202.0,373079607379.0,0.0,200000000000.0,,
28,2014/1/0/0,-15313417158.0,50888872468.0,42507922849.0,5091361787.0,328473779.0,304278927566.0,187218969384.0,418139098740.0,0.0,200000000000.0,,
29,2013/4/0/0,770101669.0,63786816845.0,69760890944.0,37143857414.0,353473779.0,333426206213.0,239636611485.0,482991933092.0,0.0,200000000000.0,,
30,2013/3/0/0,103083561.0,89342073861.0,98412085717.0,8679920775.0,910711049.0,384714179994.0,209060986218.0,474965561413.0,0.0,200000000000.0,,
31,2013/2/0/0,-220423330.0,65952593349.0,77014236403.0,7733949191.0,,332867627431.0,179832262315.0,398336867112.0,0.0,200000000000.0,,
32,2013/1/0/0,469084251.0,97272592254.0,105337721164.0,13145479574.0,,327990371457.0,240358312307.0,458004839124.0,0.0,200000000000.0,,
33,2012/4/0/0,100442617.0,275208798597.0,290231106767.0,8395720409.0,,466963727176.0,192054792732.0,543616936675.0,0.0,200000000000.0,,
34,2012/3/0/0,49780251.0,118030154022.0,127958586539.0,3022877938.0,,590377815740.0,192263181949.0,671737707123.0,0.0,200000000000.0,,
35,2012/2/0/0,868608667.0,106629275711.0,122442802535.0,5338576869.0,,508059205708.0,196239217221.0,591437875265.0,0.0,200000000000.0,,
36,2012/1/0/0,3553000966.0,94410431603.0,108115443519.0,2328540138.0,,512163605975.0,117060232350.0,503484154195.0,0.0,200000000000.0,,
37,2011/4/0/0,8517837159.0,328055757170.0,349187198544.0,10240469799.0,,511882585519.0,124311529471.0,501633319828.0,0.0,200000000000.0,,
38,2011/3/0/0,3283150151.0,144460144530.0,156470491037.0,3481660437.0,,500597228837.0,130292013729.0,497443021169.0,0.0,200000000000.0,,
39,2011/2/0/0,12867682358.0,311515319305.0,344069452312.0,2460974075.0,,559048108628.0,114165364655.0,537440049919.0,0.0,200000000000.0,,
40,2011/1/0/0,4859374322.0,156233095485.0,169522664885.0,16648789807.0,5050555556.0,323083849109.0,120327526540.0,308919031936.0,0.0,200000000000.0,,
41,2010/4/0/0,14192805566.0,185463263664.0,211088692594.0,62897348356.0,,302984122634.0,110535776485.0,269519327693.0,0.0,200000000000.0,,
42,2010/3/0/0,599813952.0,53021379692.0,57188875491.0,5760702866.0,10000000000.0,199706535732.0,128764568334.0,143220782035.0,0.0,200000000000.0,,
43,2010/2/0/0,9290855821.0,281984979825.0,302787246326.0,32623352706.0,20000000000.0,177318808134.0,118691505959.0,152995780023.0,0.0,200000000000.0,,
44,2010/1/0/0,4493786878.0,146856738824.0,158098629056.0,53673545826.0,10000000000.0,183716391501.0,141603271677.0,171776705779.0,0.0,200000000000.0,,
45,2009/4/0/0,,,,,,,,,0.0,,,
46,2009/3/0/0,1364159661.0,97206831203.0,104471243661.0,,,,,,0.0,,,
47,2009/2/0/0,2145360046.0,115486553872.0,122145794099.0,,,,,,0.0,,,
48,2009/1/0/0,3666722556.0,116706953437.0,125236358014.0,,,,,,0.0,,,
49,2008/4/0/0,,,,,,,,,0.0,,,
50,2008/3/0/0,,,,,,,,,0.0,,,
51,2008/2/0/0,,,,,,,,,0.0,,,
52,2008/1/0/0,,,,,,,,,0.0,,,
