Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,9821202694,40525631341,57202263077,72740683263,,651588507299,115547217357,547148495880,350000000000.0,350000000000.0
1,2020/4/0/0,17530378831,142065096927,170395661403,15608628480,,593343197089,135746899074,580782665206,300000000000.0,300000000000.0
2,2020/3/0/0,9715135580,109628702586,126444414494,8515620198,,553447354428,129681207027,543114858077,300000000000.0,300000000000.0
3,2020/2/0/0,5523512060,82540843153,90644661168,19667103973,,578177582738,133426689065,509848618994,300000000000.0,300000000000.0
4,2020/1/0/0,916592429,30404941881,35218035488,70454116072,,545709568319,134316620061,495921726017,300000000000.0,300000000000.0
5,2019/4/0/0,17861258291,252125003668,278538108484,50801729827,,570601725997,134932308778,557807785781,300000000000.0,300000000000.0
6,2019/3/0/0,12679079021,160804726331,180921125112,45263089580,,502594584634,321581707229,703532719314,300000000000.0,300000000000.0
7,2019/2/0/0,5422840570,126159432137,134974216583,56476092925,,441922172012,435171544831,781712937538,300000000000.0,300000000000.0
8,2019/1/0/0,142132938,32822862044,36518492201,70373610632,,411220559952,422649057922,726887363500,300000000000.0,300000000000.0
9,2018/4/0/0,21733392864,129658891591,161214143458,44314253896,,728388723852,409916639385,912932724749,300000000000.0,300000000000.0
10,2018/3/0/0,3316326523,44355444487,47347770672,28208515664,,760888532612,253004907225,745866244101,300000000000.0,300000000000.0
11,2018/2/0/0,13635351542,55326265977,72601010786,54284383236,,816192622342,274097768588,856704749914,300000000000.0,300000000000.0
12,2018/1/0/0,24476601,55250487835,57980638850,13909452295,,881377124462,189427241683,776607264270,300000000000.0,300000000000.0
13,2017/4/0/0,8347339339,367212290176,381885814157,14460733213,,762528315240,278414499999,775149113229,300000000000.0,300000000000.0
14,2017/3/0/0,380068265,49008973455,53666682807,15140867194,,552128709536,581988800854,772156905870,300000000000.0,300000000000.0
15,2017/2/0/0,17637409422,40745047585,42679168677,8197409308,,642618652208,597731314873,835119207213,300000000000.0,300000000000.0
16,2017/1/0/0,43268764,18636207069,21476103335,9159121642,,635452569947,561354979378,787731312977,300000000000.0,300000000000.0
17,2016/4/0/0,4381538751,462153682075,470137911348,10960197052,,646191327224,594814220832,578829461785,300000000000.0,300000000000.0
18,2016/3/0/0,-1790931954,15060926996,16281332721,19842774116,,289413090588,1191572434789,921443526144,300000000000.0,300000000000.0
19,2016/2/0/0,8605353200,250234025264,263546133885,21187764786,,402644985911,1172788395060,952273098319,300000000000.0,300000000000.0
20,2016/1/0/0,4877153883,101662044622,112136684242,113252550206,,199921501768,1321531400503,1370601312025,300000000000.0,300000000000.0
21,2015/4/0/0,18730252835,338684583624,365467791198,51106570472,,358749463115,1297455128297,1444893097504,300000000000.0,300000000000.0
22,2015/3/0/0,3233404663,43055829681,50210088063,8123915280,31300000000.0,228381669520,913029584292,797418664995,300000000000.0,300000000000.0
23,2015/2/0/0,2455701392,63915210193,75678965386,124560676137,1300000000.0,244214841618,852563209521,843109130246,300000000000.0,300000000000.0
24,2015/1/0/0,8266694,12235876989,13355081837,11921444887,1300000000.0,462103845122,450157500080,494418154750,,
25,2014/4/0/0,8884342146,208849832355,221827523981,19662101245,,318722861096,513822875726,432661646366,,300000000000.0
26,2014/3/0/0,-1008060117,23725769327,26198443393,6925708048,,213523481020,511182691578,295191671790,,300000000000.0
27,2014/2/0/0,11592414401,155986318912,173267167748,16768247259,,203954097702,467340074917,404928820886,,300000000000.0
28,2014/1/0/0,328905395,17767830794,19724596993,28786076854,,184374168213,518717668258,323668228532,,300000000000.0
29,2013/4/0/0,29705565067,258767172268,303753596531,28879047461,,339761357575,370532716128,341547233767,,300000000000.0
30,2013/3/0/0,8861638404,143249764692,156296332293,34359048878,,156439084983,453876921309,265608615513,,300000000000.0
31,2013/2/0/0,11091841098,230030795803,249402286869,68639534328,,111242842781,461908025442,343132417679,,300000000000.0
32,2013/1/0/0,502572443,46979598369,49138579110,15377082777,,99063144540,560032071245,285834092816,,300000000000.0
33,2012/4/0/0,16681973682,176415237080,202233436888,10026800080,,151519106832,471511139049,302499393517,,300000000000.0
34,2012/3/0/0,6642168139,99501458621,110554589969,26075513321,,116065429727,473959067630,266225004840,,300000000000.0
35,2012/2/0/0,15458180947,206968351104,230836043899,20689330918,,153837033205,414210029575,291804727936,,300000000000.0
36,2012/1/0/0,10409200912,156128568918,173564355324,6380083449,,225755797050,448274421202,318486279275,,300000000000.0
37,2011/4/0/0,21658784798,120535959930,151433318742,26866818284,,138583448197,460245956794,298621126784,,300000000000.0
38,2011/3/0/0,4305380659,57199988258,64784246031,24966409472,,151536596745,338523655968,210721386268,,300000000000.0
39,2011/2/0/0,13937780199,179096390632,198829801942,14717232890,,237819614922,279853143035,236303581865,,300000000000.0
40,2011/1/0/0,14571752643,169511934953,188790356399,31707992256,,234396600672,246786860851,161864151554,,300000000000.0
41,2010/4/0/0,10528626518,189445091999,205848615384,31755005299,,80069803038,279274987984,162429193748,,200000000000.0
42,2010/3/0/0,8230315067,115122565729,125207875657,11392518791,,45494449553,272133931725,135807970865,,200000000000.0
43,2010/2/0/0,14260719885,149608682927,167947043703,9924499075,,100929071257,230271035519,159785791541,,200000000000.0
44,2010/1/0/0,8898053057,105810432664,117452779260,33882248483,,110949131309,213277630863,178364344307,,200000000000.0
45,2009/4/0/0,10986566400,63945299017,79108878617,72015976753,,47748359402,214223257151,165201735478,,200000000000.0
46,2009/3/0/0,12563782384,62147055533,76982111687,22691629637,,43144097020,127544591010,101713030611,,98720000000.0
47,2009/2/0/0,11075940249,102296474048,117084182044,6417091661,,43969740902,116415111556,88916910053,,98720000000.0
48,2009/1/0/0,4802739083,48954232547,55545441296,13147254113,,45642891451,87571319916,65775341920,,98720000000.0
49,2008/4/0/0,7331165308,46234672402,56203020784,6177455988,,40183043288,93872469056,52282513027,,98720000000.0
50,2008/3/0/0,3317963257,54762640006,59198087791,17812866177,,41915446262,87614607306,51142004849,,98720000000.0
51,2008/2/0/0,5273428575,56702911962,63482793544,40154596217,,32703567684,87292419599,59737488985,,98725000000.0
52,2008/1/0/0,4996464779,51379345824,58586487161,17228409581,37100000000.0,32121320256,75234036629,60534643188,,98725000000.0
