Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,68222733537.0,1543832651072.0,1766747686213.0,318750433862.0,,835707728777.0,1072516920706.0,1734380163753.0,571679930000.0,571679930000.0
1,2020/4/0/0,46210694102.0,1296729124162.0,1478007848690.0,419560067680.0,,579628172423.0,1180440184265.0,1736277152705.0,571679930000.0,571679930000.0
2,2020/3/0/0,41237159186.0,1166650788758.0,1401003728910.0,290772371540.0,,948370904063.0,1160786928537.0,1987946318305.0,571679930000.0,571679930000.0
3,2020/2/0/0,74672582357.0,1424536022960.0,1656176113403.0,301040645426.0,4000000000.0,932051999132.0,1265752160608.0,2075778172045.0,571679930000.0,571679930000.0
4,2020/1/0/0,4552855951.0,779930129400.0,888069847232.0,192668974829.0,,730088389521.0,1495170366964.0,2001172672943.0,571679930000.0,571679930000.0
5,2019/4/0/0,38867099190.0,1337806259654.0,1566627814705.0,397285604612.0,24346512059.0,703820387012.0,1347040170412.0,2033510832300.0,571679930000.0,571679930000.0
6,2019/3/0/0,38457428953.0,1332624922288.0,1543985356953.0,328629278836.0,33846512059.0,1021536834492.0,1406110227492.0,2380722589406.0,571679930000.0,571679930000.0
7,2019/2/0/0,11657410502.0,1813538627307.0,2009677510572.0,243450177111.0,33846512059.0,1007596982462.0,1581268358807.0,2484322140730.0,571679930000.0,571679930000.0
8,2019/1/0/0,5359036878.0,913041938536.0,1012141196446.0,152922351844.0,33846512059.0,682333577795.0,1955884432129.0,2368196065218.0,571679930000.0,571679930000.0
9,2018/4/0/0,50752958481.0,1239373146999.0,1399024850673.0,318012056498.0,46472418908.0,577522068666.0,1898573810102.0,2351452823576.0,571679930000.0,571679930000.0
10,2018/3/0/0,58454839317.0,1433820634390.0,1660870623763.0,249610751333.0,48000000000.0,1161354974386.0,1480396023356.0,2399247229773.0,571679930000.0,571679930000.0
11,2018/2/0/0,102541460349.0,1724878898618.0,2003843450964.0,281099201168.0,48000000000.0,953652195609.0,1730440713995.0,2454617757394.0,571679930000.0,571679930000.0
12,2018/1/0/0,41890620769.0,1168937338031.0,1341681330242.0,137302498022.0,36000000000.0,804117516992.0,2029305141594.0,2458933740851.0,571679930000.0,571679930000.0
13,2017/4/0/0,70534068843.0,1254525861747.0,1527221099789.0,344734620233.0,17500000000.0,503144809726.0,2099092747403.0,2458044573761.0,571679930000.0,571679930000.0
14,2017/3/0/0,72247558176.0,1328241499851.0,1555639747712.0,317472154990.0,3000000000.0,892658321781.0,1847374218684.0,2459421132171.0,571679930000.0,571679930000.0
15,2017/2/0/0,141855261448.0,1709738992780.0,2052269085199.0,389576918385.0,16500000000.0,867315215560.0,1691361280554.0,2430941573686.0,571679930000.0,571679930000.0
16,2017/1/0/0,65713559984.0,1000308169976.0,1172633005436.0,114688571976.0,14000000000.0,697035816142.0,2005755313315.0,2297685603203.0,571679930000.0,571679930000.0
17,2016/4/0/0,94636888121.0,1208367398288.0,1450208241963.0,393261788018.0,11500000000.0,603777783130.0,1564829362911.0,2147230020870.0,571679930000.0,571679930000.0
18,2016/3/0/0,83429580906.0,1219965227773.0,1464480111183.0,452376132142.0,9000000000.0,854721161058.0,1515876921125.0,2337190391130.0,571679930000.0,571679930000.0
19,2016/2/0/0,128369716607.0,1740983688183.0,2037151632885.0,466544081294.0,10000000000.0,865855556739.0,1488697844317.0,2485087734642.0,476400000000.0,476400000000.0
20,2016/1/0/0,43531371913.0,866683254723.0,992456909473.0,193155641978.0,10000000000.0,547480848537.0,1829757897377.0,2187501431661.0,476400000000.0,476400000000.0
21,2015/4/0/0,79728133133.0,1219349878425.0,1417975436934.0,425691387530.0,10000000000.0,495906620446.0,1760814691682.0,2351264769858.0,476400000000.0,476400000000.0
22,2015/3/0/0,77683144912.0,1374583006463.0,1569041165260.0,160100302390.0,10322252840.0,832452570868.0,1629907710152.0,2239864555297.0,476400000000.0,476400000000.0
23,2015/2/0/0,,,,,,,,,,
24,2015/1/0/0,34935148847.0,952586810934.0,1076417218958.0,166615516347.0,43800000000.0,798852805816.0,1450181988243.0,2081019595680.0,,476400000000.0
25,2014/4/0/0,,,,,,,,,,
26,2014/3/0/0,,,,,,,,,,
27,2014/2/0/0,,,,,,,,,,
28,2014/1/0/0,,,,,,,,,,
29,2013/4/0/0,,,,,,,,,,
30,2013/3/0/0,,,,,,,,,,
31,2013/2/0/0,,,,,,,,,,
32,2013/1/0/0,,,,,,,,,,
33,2012/4/0/0,,,,,,,,,,
34,2012/3/0/0,,,,,,,,,,
35,2012/2/0/0,,,,,,,,,,
36,2012/1/0/0,,,,,,,,,,
37,2011/4/0/0,,,,,,,,,,
38,2011/3/0/0,,,,,,,,,,
39,2011/2/0/0,,,,,,,,,,
40,2011/1/0/0,,,,,,,,,,
41,2010/4/0/0,,,,,,,,,,
42,2010/3/0/0,,,,,,,,,,
43,2010/2/0/0,,,,,,,,,,
44,2010/1/0/0,,,,,,,,,,
45,2009/4/0/0,,,,,,,,,,
46,2009/3/0/0,,,,,,,,,,
47,2009/2/0/0,,,,,,,,,,
48,2009/1/0/0,,,,,,,,,,
49,2008/4/0/0,,,,,,,,,,
50,2008/3/0/0,,,,,,,,,,
51,2008/2/0/0,,,,,,,,,,
52,2008/1/0/0,,,,,,,,,,
