Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,13102020606,734425205552,793236630233,91738017053,14478666100,27387104104,81359036930,66246324965,141206280000.0,141206280000.0
1,2020/4/0/0,15623666357,715996382947,767928068371,58776423619,13291146100,23396515374,79856690021,41751381727,141206280000.0,141206280000.0
2,2020/3/0/0,14575979522,667151636372,720154438338,120153079229,12877379600,43871389957,40382513978,68148997929,141206280000.0,141206280000.0
3,2020/2/0/0,672248756,527236758050,552478230032,53449589697,12877379600,56126612065,58739330548,50979280435,141206280000.0,141206280000.0
4,2020/1/0/0,6290750414,811055413854,858731355272,124034620952,12877379600,52033888609,17996201134,47530862830,141206280000.0,141206280000.0
5,2019/4/0/0,9148873503,1050772630483,1103431556225,10588675356,12877379600,47396402655,125054232145,54708890929,141206280000.0,141206280000.0
6,2019/3/0/0,13213035038,1037391083598,1088693176939,129442456936,11783268000,52198380309,61577467569,57012618351,141206280000.0,141206280000.0
7,2019/2/0/0,22328999433,1016586955104,1080287642697,76087587263,12303628200,54638933871,102248595030,62901672046,141206280000.0,141206280000.0
8,2019/1/0/0,6342064926,892454200006,931198174098,43791787381,12621652600,51019215488,109976911076,45583241941,141206280000.0,141206280000.0
9,2018/4/0/0,25075321713,999854026973,1072785245460,169442563956,12771797400,15346526159,47491571256,46782767837,141206280000.0,141206280000.0
10,2018/3/0/0,25174738176,1028597155219,1096544623167,59000441223,11594121000,24175921102,163913442208,75008252921,141206280000.0,141206280000.0
11,2018/2/0/0,21458848456,1022272893854,1085872025025,148121309576,12285109400,23783543702,71702356331,73136690932,141206280000.0,141206280000.0
12,2018/1/0/0,18403423900,926019195958,986816749597,37964167988,12498100800,22243012034,178002557293,88506754174,141206280000.0,141206280000.0
13,2017/4/0/0,19947533724,946800310791,1005723362468,51271265793,12053460630,14099475093,147630006425,49526697995,141206280000.0,141206280000.0
14,2017/3/0/0,31853966982,892815877214,961904253101,113626974690,12937641830,20035671382,126301575729,91637340945,141206280000.0,141206280000.0
15,2017/2/0/0,23218671695,867764500060,937936057044,180951831723,13883071230,20482446322,44569149707,86054326569,141206280000.0,141206280000.0
16,2017/1/0/0,19997984646,852796816631,931732526329,72694886377,13883071230,24246295353,120014887219,67097862900,141206280000.0,141206280000.0
17,2016/4/0/0,34765903503,852979762908,926923320660,26488726624,14827071091,31502000914,168098734381,96523143402,141206280000.0,141206280000.0
18,2016/3/0/0,34922910350,795655539620,869734712292,122198637171,13210980691,14803108542,101736968826,81642823833,141206280000.0,141206280000.0
19,2016/2/0/0,28439138425,810107178096,887687834618,129887720627,12618555491,15752131645,77710986748,82844320380,141206280000.0,141206280000.0
20,2016/1/0/0,11600861714,726987863984,787051051694,113756773090,12247506291,12400541795,50082348312,54528965715,141206280000.0,141206280000.0
21,2015/4/0/0,20248719628,886943996713,942528273847,77339052158,14003123600,11707469378,70885725114,52128374898,,141206280000.0
22,2015/3/0/0,29073063864,1147755848750,1217404198293,171191821215,13595733200,17478539991,43765221828,87671792793,,141206280000.0
23,2015/2/0/0,39123281933,1011789819826,1121509683117,136390717311,13418123800,21249962474,73576651544,95734515759,,
24,2015/1/0/0,11556128822,865291552843,927042529842,13465781921,13708444200,25799107491,125097854792,68177822631,,
25,2014/4/0/0,13954575364,1264053433795,1314936225171,37888304568,14052996900,28217508032,70252490415,38286228512,0.0,141206280000.0
26,2014/3/0/0,9863935408,1339571042490,1380810312906,30995549089,13302809000,37464177010,129813085632,121273194522,0.0,141206280000.0
27,2014/2/0/0,10768029896,1450925704253,1493401297339,27733806268,13718782100,37671450062,128199660100,111473909190,0.0,141206280000.0
28,2014/1/0/0,7431466148,1217829145354,1266039076924,23226181859,13622657900,37235695720,177006359605,180133232156,0.0,141206280000.0
29,2013/4/0/0,6160553321,1361591414867,1400976229645,28041955577,15058649800,50152600388,208588675994,235157327918,0.0,141206280000.0
30,2013/3/0/0,6812470950,1290144263056,1332178115392,26433562198,30754512200,48771313795,168258492731,206634317048,0.0,141206280000.0
31,2013/2/0/0,6904014375,1255165366452,1300215655600,41346220937,30344832200,58533484858,126439196694,167800226098,0.0,141206280000.0
32,2013/1/0/0,5653695369,1169572441232,1197362236768,45458198687,53884899500,58380709312,161112979927,223505166485,0.0,141206280000.0
33,2012/4/0/0,8519698452,1293112886698,1333462464406,56543233267,53987552400,52797810977,191984540779,244863422397,0.0,141206280000.0
34,2012/3/0/0,559458354,1106051134735,1147679717723,49535367547,52937061400,57972341872,78003092909,116133508330,0.0,141206280000.0
35,2012/2/0/0,8863802751,1136484782071,1166152145475,33590460836,57783303000,76756604478,55500137440,98731197338,0.0,141206280000.0
36,2012/1/0/0,6582026481,1272598926163,1309156310114,31126505153,54670475000,96007169761,102351146164,154342513320,0.0,141206280000.0
37,2011/4/0/0,8885480553,1218579091411,1245256168776,38142270504,46863202000,96279498305,42122346995,86781267821,0.0,141206280000.0
38,2011/3/0/0,10149192834,1175405031167,1209020185294,34430430240,49020289800,81957714948,123531142081,145262372145,0.0,141206280000.0
39,2011/2/0/0,5349920578,1179557190712,1209039459411,11876522966,43465792000,76807874265,106398191751,96527222561,0.0,141206280000.0
40,2011/1/0/0,8887028288,1027184245976,1069332579200,24328286687,52672882000,172672642325,28520602676,124917310546,0.0,141206280000.0
41,2010/4/0/0,9779819601,941358209797,977111489016,22936221124,48579707000,101900717421,83324158476,101427192400,0.0,141206280000.0
42,2010/3/0/0,9637950185,853520166797,893921236360,80342500358,48467567400,93498306998,48885137982,65317940206,0.0,141206280000.0
43,2010/2/0/0,8618223325,883148044866,910786374616,56737005478,51200887400,98159661636,64233154334,65996283567,0.0,95365050000.0
44,2010/1/0/0,8882682162,791513734733,834982320388,39167744552,68434924400,179507674744,28234281429,108641245909,0.0,95365050000.0
45,2009/4/0/0,33163982093,803393627856,843559497036,19610913495,67442104400,75793552266,174856909492,115751156252,0.0,87840000000.0
46,2009/3/0/0,13999012505,725674573298,773385018328,71484915141,55510011400,136395418797,26281674458,84926718747,0.0,87840000000.0
47,2009/2/0/0,18849389247,1129029987116,1204305313906,112787295683,38006811400,71989735760,98362541476,119269776736,0.0,87747700000.0
48,2009/1/0/0,7849246406,529008991756,571040520138,100129926992,28006811400,73329512386,45966320636,52296732781,0.0,86120000000.0
49,2008/4/0/0,4031458587,657901895295,692079901067,97497314671,27104632300,75259425634,24231540810,33031649735,0.0,86120000000.0
50,2008/3/0/0,6058303493,848247629594,882650556994,115468463821,37628624000,76199846348,19433371798,47371973355,0.0,86120000000.0
51,2008/2/0/0,3905369980,785250524732,801855693356,46192161805,37766897000,113478434767,24372563535,23966185343,0.0,79999170000.0
52,2008/1/0/0,5006547881,666642233490,695008747431,128610656737,43143005560,56959055475,26539236491,62305287443,0.0,79999170000.0
