Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,251072175109.0,201143044114.0,586111954007.0,7799271377.0,12180299200.0,2537316231204.0,10632120431952.0,4073405727233.0,,4357862410000.0
1,2020/4/0/0,501489276199.0,692445183170.0,1412107832074.0,53170282508.0,12180299200.0,1524717512889.0,9308471099961.0,4365397783221.0,,3961698970000.0
2,2020/3/0/0,438925535048.0,677615277537.0,1315902373342.0,46289597140.0,,2365534107551.0,9780800106100.0,4076219798678.0,,3702528870000.0
3,2020/2/0/0,120997211845.0,339112942603.0,552372229355.0,300162385220.0,,2422941541616.0,8018724580754.0,4040660024654.0,,3702528870000.0
4,2020/1/0/0,158082080680.0,380167894530.0,629456243885.0,39490020698.0,,2071881981849.0,7768686072540.0,2798696278849.0,,3276579720000.0
5,2019/4/0/0,470519628401.0,358722273964.0,1036163026535.0,646327404464.0,,1729519506303.0,7397337358797.0,3116462563213.0,,3276579720000.0
6,2019/3/0/0,160542711329.0,144588702999.0,395788911282.0,230345896320.0,,2050579482386.0,7016892432494.0,1587890321464.0,,3276579720000.0
7,2019/2/0/0,88237766493.0,102708659677.0,263344344320.0,198157596266.0,,2356698906182.0,5846362872978.0,688386261873.0,,3276579720000.0
8,2019/1/0/0,153103029900.0,1476277369335.0,1704889731818.0,19560810471.0,,2032700657603.0,5023965412184.0,746776562535.0,,2663890070000.0
9,2018/4/0/0,298344164749.0,1299785505649.0,1699436335486.0,189341108610.0,,1987986155701.0,5865813659699.0,791599019356.0,,2663890070000.0
10,2018/3/0/0,104832827121.0,2406146535.0,4845710453.0,44157150630.0,,1620423393664.0,6561816578178.0,1428488270603.0,,2663890070000.0
11,2018/2/0/0,88178211907.0,12280415873.0,61671867112.0,15209202047.0,,1503786717014.0,6447276174188.0,1292040767440.0,,2663890070000.0
12,2018/1/0/0,152552304029.0,152086280961.0,381755429090.0,10090035327.0,,2602374429353.0,6322503841751.0,1597203198744.0,,2219909230000.0
13,2017/4/0/0,208091080085.0,127999137707.0,232893781487.0,144054693984.0,,899506054959.0,6089231623616.0,1074677582738.0,,2219909230000.0
14,2017/3/0/0,114328689015.0,317483147610.0,505141661685.0,156984831461.0,,1495875470197.0,7280860944447.0,2684703380802.0,,2219909230000.0
15,2017/2/0/0,81331270335.0,237799701114.0,383852447897.0,112592465026.0,,1073232766451.0,7416175695224.0,2344056468940.0,,2219909230000.0
16,2017/1/0/0,44758979232.0,124087577021.0,204738266104.0,290935367010.0,,644384834714.0,7480592855711.0,1865250043730.0,,2018099710000.0
17,2016/4/0/0,174020846107.0,966044778055.0,1270833086225.0,149428415321.0,,590893209769.0,7316019345496.0,1675014870117.0,,2018099710000.0
