Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,5984545099,112848988322,126076468716,39749433912.0,171150000000.0,817174975264.0,328238143858.0,1268431413638.0,324953970000.0,324953970000.0
1,2020/4/0/0,23203665621,695982258516,749505593554,63100304721.0,178250000000.0,882910631545.0,284179165580.0,1333416021989.0,324953970000.0,324953970000.0
2,2020/3/0/0,10568196211,205407852105,232074254216,21045002959.0,126500000000.0,727345463582.0,468656376168.0,1220357166530.0,324953970000.0,324953970000.0
3,2020/2/0/0,-1217179958,265622870606,288545378619,37897134846.0,120000000000.0,801412336850.0,331394305797.0,1191461990745.0,324953970000.0,324953970000.0
4,2020/1/0/0,8094834697,185232747998,205994656019,30293958996.0,151703107647.0,816626736851.0,365515067648.0,1230381137642.0,324953970000.0,324953970000.0
5,2019/4/0/0,16469275534,666209980284,718691454517,51399276846.0,151703107647.0,987018256915.0,299522924715.0,1319279895520.0,324953970000.0,324953970000.0
6,2019/3/0/0,34121585919,395276602867,456482424469,46931334444.0,151703107647.0,780645890903.0,433303021829.0,1233662802755.0,324953970000.0,324953970000.0
7,2019/2/0/0,15631382761,318414707235,362681330387,41088766135.0,156703107647.0,698931294581.0,430386019252.0,1158650705506.0,324953970000.0,324953970000.0
8,2019/1/0/0,6674045048,163485735117,175350720593,56590595842.0,177565928908.0,645754051250.0,357469724385.0,1062575646865.0,324953970000.0,324953970000.0
9,2018/4/0/0,47192733829,643450128589,720450252333,54945164959.0,163600928908.0,851206998747.0,266382257716.0,1105157593159.0,324953970000.0,324953970000.0
10,2018/3/0/0,12601425517,251029191152,277149017089,84161507506.0,211600928908.0,545672113176.0,461839234971.0,1159370694733.0,324953970000.0,324953970000.0
11,2018/2/0/0,13560000735,517052524195,544113111812,173002540831.0,223100928908.0,617121878385.0,352406631536.0,1226378679636.0,324953970000.0,324953970000.0
