Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,1364802120.0,44418084326.0,48263066978.0,16959364634.0,6303056372.0,157759725855.0,119343417215.0,144640703673.0,399563720000.0,399563720000.0
1,2020/4/0/0,3035132401.0,79261065927.0,86024053351.0,26037718431.0,6490000000.0,235041816210.0,121296342536.0,150000274706.0,380540770000.0,380540770000.0
2,2020/3/0/0,8503166858.0,69292416577.0,80618029128.0,49243400647.0,6820000000.0,277248035361.0,124999447418.0,165364172565.0,380540770000.0,380540770000.0
3,2020/2/0/0,3496071142.0,97328158161.0,104750878061.0,6756602341.0,9120000000.0,129223264024.0,123272357862.0,172631258326.0,187197880000.0,187197880000.0
4,2020/1/0/0,4535075672.0,99915718340.0,107539448892.0,4266008344.0,11384000000.0,126283839613.0,127140115381.0,211089247911.0,187197880000.0,187197880000.0
5,2019/4/0/0,6348040823.0,87709681333.0,96433677741.0,33381963634.0,11384000000.0,129683016922.0,132056879085.0,250312389044.0,187197880000.0,187197880000.0
6,2019/3/0/0,2830155287.0,78527124285.0,84314037689.0,4558166770.0,,146213258589.0,108896511007.0,170007309186.0,187197880000.0,187197880000.0
7,2019/2/0/0,1694388124.0,106493710518.0,110547653842.0,24387855543.0,,89230321428.0,101875999807.0,157618042788.0,187197880000.0,187197880000.0
8,2019/1/0/0,2757470036.0,58826603214.0,63497523940.0,4526869615.0,,88139778306.0,90521960509.0,122604001235.0,187197880000.0,187197880000.0
9,2018/4/0/0,2286510776.0,143351856494.0,149602825672.0,6627801417.0,,75806559006.0,81042884968.0,96286928096.0,187197880000.0,187197880000.0
10,2018/3/0/0,5682491878.0,36377886660.0,43820185670.0,2273598821.0,,120371414444.0,72205204504.0,98008197088.0,187197880000.0,187197880000.0
11,2018/2/0/0,5605491974.0,54602306337.0,62306311874.0,8611960813.0,,97895838189.0,69913210996.0,63446131053.0,180000000000.0,180000000000.0
12,2018/1/0/0,8193938260.0,40009680459.0,50302716122.0,7195686138.0,,79329853888.0,59612676611.0,54237128701.0,180000000000.0,180000000000.0
13,2017/4/0/0,8332706911.0,41779370298.0,52140429356.0,30106834422.0,,85586303668.0,57055905995.0,81891856118.0,180000000000.0,180000000000.0
14,2017/3/0/0,4183335222.0,45653630538.0,52000853956.0,5297627176.0,,94367254541.0,52275102745.0,67913727306.0,180000000000.0,180000000000.0
15,2017/2/0/0,,,,,,,,,,
16,2017/1/0/0,,,,,,,,,,
17,2016/4/0/0,,,,,,,,,,
18,2016/3/0/0,,,,,,,,,,
19,2016/2/0/0,,,,,,,,,,
20,2016/1/0/0,,,,,,,,,,
21,2015/4/0/0,,,,,,,,,,
22,2015/3/0/0,,,,,,,,,,
23,2015/2/0/0,,,,,,,,,,
24,2015/1/0/0,,,,,,,,,,
25,2014/4/0/0,,,,,,,,,0.0,
26,2014/3/0/0,,,,,,,,,0.0,
27,2014/2/0/0,,,,,,,,,0.0,
28,2014/1/0/0,,,,,,,,,0.0,
29,2013/4/0/0,,,,,,,,,0.0,
30,2013/3/0/0,,,,,,,,,0.0,
31,2013/2/0/0,,,,,,,,,0.0,
32,2013/1/0/0,,,,,,,,,0.0,
33,2012/4/0/0,,,,,,,,,0.0,
34,2012/3/0/0,,,,,,,,,0.0,
35,2012/2/0/0,,,,,,,,,0.0,
36,2012/1/0/0,,,,,,,,,0.0,
37,2011/4/0/0,,,,,,,,,0.0,
38,2011/3/0/0,,,,,,,,,0.0,
39,2011/2/0/0,,,,,,,,,0.0,
40,2011/1/0/0,,,,,,,,,0.0,
41,2010/4/0/0,,,,,,,,,0.0,
42,2010/3/0/0,,,,,,,,,0.0,
43,2010/2/0/0,,,,,,,,,0.0,
44,2010/1/0/0,,,,,,,,,0.0,
45,2009/4/0/0,,,,,,,,,0.0,
46,2009/3/0/0,,,,,,,,,0.0,
47,2009/2/0/0,,,,,,,,,0.0,
48,2009/1/0/0,,,,,,,,,0.0,
49,2008/4/0/0,,,,,,,,,0.0,
50,2008/3/0/0,,,,,,,,,0.0,
51,2008/2/0/0,,,,,,,,,0.0,
52,2008/1/0/0,,,,,,,,,0.0,
