Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,84969368799.0,394617179584.0,679887701683.0,495936897127.0,303000000000.0,423847777961.0,518391466902.0,482315928415.0,777944530000.0,777944530000.0
1,2020/4/0/0,94096948895.0,430256248946.0,747255832848.0,371680211939.0,372000000000.0,415009507750.0,530224405469.0,499556492085.0,777944530000.0,777944530000.0
2,2020/3/0/0,128651102799.0,462624122788.0,824028597006.0,305713333640.0,276000000000.0,437118419859.0,658184404257.0,549541701796.0,777944530000.0,777944530000.0
3,2020/2/0/0,37030675174.0,429005553547.0,644808435174.0,232619036934.0,185500000000.0,535712182731.0,680458984762.0,498610177546.0,777944530000.0,777944530000.0
4,2020/1/0/0,-19933690119.0,332924869236.0,468459085308.0,175374145388.0,274000000000.0,505511154616.0,692177256492.0,482348879485.0,777944530000.0,777944530000.0
5,2019/4/0/0,94924952731.0,608436486779.0,948106312568.0,190855576577.0,466000000000.0,581476470866.0,582361530894.0,554653680656.0,777944530000.0,777944530000.0
6,2019/3/0/0,68849096117.0,486251205362.0,770214594599.0,243104174135.0,453500000000.0,441053828939.0,634855514743.0,566327951423.0,777944530000.0,777944530000.0
7,2019/2/0/0,152662725608.0,572722668792.0,956551550744.0,255661298919.0,293000000000.0,513075287472.0,589971088898.0,455511650670.0,707228530000.0,707228530000.0
8,2019/1/0/0,32650274620.0,387579997822.0,581236252158.0,298833230692.0,190000000000.0,338423095659.0,682675103636.0,409179429250.0,707228530000.0,707228530000.0
9,2018/4/0/0,44979890553.0,493432576820.0,750290664447.0,145861230396.0,,337890452158.0,684484261574.0,495903207694.0,657228530000.0,657228530000.0
10,2018/3/0/0,85273718216.0,429959554214.0,706202884426.0,265217909539.0,,281879889117.0,701883524866.0,575928413837.0,657228530000.0,657228530000.0
11,2018/2/0/0,106025818505.0,501224262799.0,819139794642.0,249662847238.0,,407615235585.0,603786593936.0,593539275324.0,505562560000.0,505562560000.0
12,2018/1/0/0,58104814874.0,364491088550.0,580143006699.0,232728488599.0,,256871426866.0,548819403692.0,395184839572.0,505562560000.0,505562560000.0
13,2017/4/0/0,29424600907.0,380957313082.0,590494432771.0,353869383127.0,,204875546879.0,517175529421.0,468795780460.0,505562560000.0,505562560000.0
14,2017/3/0/0,79298412983.0,408508481827.0,650687494213.0,381385944745.0,,212648779133.0,492147294263.0,415247189156.0,498062560000.0,498062560000.0
