Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,358087616,65923759760,86984118891,14810261840,9987396250,45225511159,96246106106,69379840468,119820500000.0,119820500000.0
1,2020/4/0/0,9062875490,99319942378,140512398355,17889785033,1787396250,50811731229,110445829255,82742813465,119820500000.0,119820500000.0
2,2020/3/0/0,10065807923,95102473280,133532655883,12806778520,9287396250,69838214196,134677964094,107359498295,119820500000.0,119820500000.0
3,2020/2/0/0,2638777658,42938889130,66940505817,12862239596,4287396250,39376159579,131945401131,67091221145,119820500000.0,119820500000.0
4,2020/1/0/0,5049778111,80718649662,113075426043,21930485132,2287396250,53923814784,136908079044,94378173548,119820500000.0,119820500000.0
5,2019/4/0/0,3604627363,54436849667,84293069248,18328863014,25287396250,5819240424,134326889506,103704801290,119820500000.0,119820500000.0
6,2019/3/0/0,2681023103,55736816591,83234376875,14710948641,38287396250,54660936435,120955264510,95593918245,119820500000.0,119820500000.0
7,2019/2/0/0,5966489138,70669944217,107513603590,15004703751,38287396250,57174598185,138685858377,110046706903,119820500000.0,119820500000.0
8,2019/1/0/0,4200987440,62259214469,93820689533,8935875671,38287396250,191388122560,122902902573,207242048964,119820500000.0,119820500000.0
9,2018/4/0/0,5667746808,77856345376,114215912784,2707937145,27287396250,246869271358,120875482570,259516612679,119820500000.0,119820500000.0
10,2018/3/0/0,6303384930,126471317109,158566888933,3296475341,54487396250,260421449210,113452326369,297769769789,119820500000.0,119820500000.0
11,2018/2/0/0,5043143834,108066367221,128741663084,7343180000,54487396250,313656566374,105354347495,358392440386,119820500000.0,119820500000.0
12,2018/1/0/0,827152498,115925388752,130619333479,4213323441,66487396250,320977233459,75494767011,338527499875,119820500000.0,119820500000.0
13,2017/4/0/0,11029635963,204797417542,227629467480,16778424433,69987396250,428304930154,103480045543,494061609631,119820500000.0,119820500000.0
14,2017/3/0/0,3610977802,195140516556,217490261912,16539859954,55987396250,355054656296,65827944699,366451606590,119820500000.0,119820500000.0
15,2017/2/0/0,1294161977,127821652144,148348091266,12516161079,59487396250,328036582714,102040779548,380632074615,119820500000.0,119820500000.0
16,2017/1/0/0,4207436149,207308752442,230899077692,12034501302,53987396250,316362465977,77987535829,317300970238,119820500000.0,119820500000.0
17,2016/4/0/0,11792277558,364537621183,387898207896,12060975462,45987396250,441193436965,127172026888,491492935689,119820500000.0,119820500000.0
18,2016/3/0/0,2325468615,144474687912,159922078110,4321486539,37987396250,213920215117,99126114897,223254861388,119820500000.0,119820500000.0
19,2016/2/0/0,1396234362,126792179705,142978596216,9004932438,36487396250,188426902042,107393541725,203028094586,119820500000.0,119820500000.0
20,2016/1/0/0,790001215,52836629571,67492875869,5713972019,44487396250,80863394260,88724668640,80765301595,119820500000.0,119820500000.0
21,2015/4/0/0,6341020940,99473828047,119628841407,5982394523,37487396250,121125754670,107345846125,132595437524,119820500000.0,119820500000.0
22,2015/3/0/0,2437301564,96548066435,115010809500,5579411484,58487396250,120474002136,69703464888,116365515454,119820500000.0,119820500000.0
23,2015/2/0/0,1651233955,37486061313,51306563401,4011028112,58487396250,58124241000,70126669823,51348126307,119820500000.0,119820500000.0
24,2015/1/0/0,3050957983,50070022980,67530125639,4356381958,55987396250,57198756770,69876563043,37669621941,,
25,2014/4/0/0,3486509145,54288835245,73140048214,6324888125,56237396250,58825162086,78689644770,54408518400,0.0,119820500000.0
26,2014/3/0/0,3045200858,28944753722,42261305042,5301782172,55950000000,43154370186,69871791542,30627293200,0.0,119820500000.0
27,2014/2/0/0,2536395908,39888451715,52144055073,5875121468,68336736000,38084442669,73480627155,51476190346,0.0,119820500000.0
28,2014/1/0/0,3165052206,35174865090,47637470326,2835936740,70253136000,40928591025,62942713520,39828672384,0.0,119820500000.0
29,2013/4/0/0,4823118822,47098450109,63548013892,7534548785,70478716021,42936059365,71066066076,53854389797,0.0,119820500000.0
