,YEAR,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,ValueARG,VolumeARG
0.00,2021/2/0/0,,AAA,15.85,17.55,2967599740000.00,4703645587900.00,92772805213.00,2910330501951.00,3264745856008.00,2214209755238.00,11156000000.00,1918577752695.00,1131960274006.00,3713259862429.00,0.00,83505153846.15,5266645.46
1.00,2021/2/0/0,,AAT,18.60,23.58,348000000000.00,647280000000.00,15947639700.00,162364470866.00,188524723433.00,26635786428.00,1000000000.00,184823887700.00,17504966880.00,106502438847.00,0.00,8599846153.85,427545.45
2.00,2021/2/0/0,,ABS,52.40,20.15,800000000000.00,4192000000000.00,6383428044.00,407080664528.00,427761984210.00,3413801294.00,425250000000.00,895321594981.00,5665725722.00,728052666691.00,0.00,8605000000.00,398272.73
3.00,2021/2/0/0,,ACC,15.45,22.50,300000000000.00,463500000000.00,11975050157.00,117049392761.00,141502844702.00,25473951829.00,0.00,230104453924.00,550200323572.00,450259058926.00,0.00,617076923.08,45745.45
4.00,2021/2/0/0,,ACL,12.60,15.20,501590190000.00,632003639400.00,11209861473.00,300362732211.00,339030666581.00,57556136824.00,0.00,137254311307.00,908153623684.00,772097292330.00,0.00,400153846.15,31863.64
5.00,2021/2/0/0,,ADG,58.50,51.87,180003330000.00,1053019480500.00,12434800983.00,115421337373.00,135478259616.00,14252952806.00,127540772918.00,156163476240.00,8285512499.00,146905083557.00,0.00,4609307692.31,101690.91
6.00,2021/2/0/0,,ADS,13.85,32.20,280694500000.00,388761882500.00,31845959798.00,330881930164.00,383088516635.00,37398669583.00,320438733646.00,625621415544.00,484737224158.00,1259057996404.00,0.00,12341538461.54,413436.36
7.00,2021/2/0/0,,AGG,45.65,46.75,827505770000.00,3777563840050.00,189446373975.00,221349280134.00,260405376471.00,436136082498.00,256093813108.00,2047292150427.00,7031974929485.00,5301564563930.00,0.00,99279769230.77,2036645.46
8.00,2021/2/0/0,,AGM,17.25,36.20,182000000000.00,313950000000.00,11360250965.00,617843398367.00,664664154105.00,57469385420.00,48100000000.00,290324370232.00,464305554977.00,583484160084.00,0.00,944076923.08,18272.73
9.00,2021/2/0/0,,AMD,7.01,5.40,1635048740000.00,1146169166740.00,4756914416.00,415518513487.00,425674123274.00,9344320696.00,37422021918.00,1724472332143.00,358316841167.00,717708304119.00,0.00,10834923076.92,2134154.55
10.00,2021/2/0/0,,ANV,22.20,35.50,1275396250000.00,2831379675000.00,23741757224.00,936210796006.00,1074368010781.00,29241228671.00,519569073309.00,520215856099.00,1915412602493.00,2486155043154.00,0.00,17209153846.15,490290.91
11.00,2021/2/0/0,,APC,22.55,22.70,201213950000.00,453737457250.00,-1046992898.00,22720632644.00,35630810829.00,78568576915.00,99011942750.00,37060870224.00,19787223.00,27137571173.00,0.00,279538461.54,14090.91
12.00,2021/2/0/0,,APH,53.60,42.90,1951074420000.00,10457758891200.00,67458474301.00,3294686609808.00,3736320472930.00,2407746648608.00,11156000000.00,2393312695059.00,1409326022960.00,4544896908669.00,0.00,44437769230.77,927881.82
13.00,2021/2/0/0,,ASG,35.40,29.35,630449640000.00,2231791725600.00,-678574467.00,123101400740.00,158896189102.00,245004174380.00,201939885066.00,307721234541.00,10592015432.00,355101628949.00,0.00,106531600.00,2834.67
14.00,2021/2/0/0,,ASM,13.55,19.25,2588678490000.00,3507659353950.00,101945655878.00,3132516486988.00,3474967475343.00,968793255378.00,1197160418872.00,3969720954618.00,2852455294672.00,6698323483182.00,0.00,33710307692.31,2473009.09
15.00,2021/2/0/0,,ASP,6.89,14.20,373399290000.00,257272110810.00,9273205621.00,552744147861.00,571343079257.00,14345352462.00,150578357615.00,693084966416.00,2911173265.00,886808984902.00,0.00,283230769.23,35081.82
16.00,2021/2/0/0,,AST,53.50,55.60,450000000000.00,2407500000000.00,-35081734745.00,39014942747.00,50462337284.00,14835773680.00,198366000000.00,59800967018.00,36306817889.00,92221966065.00,0.00,1593769230.77,29863.64
17.00,2021/2/0/0,,BCE,11.70,21.40,350000000000.00,409500000000.00,13361783247.00,24712257775.00,38494314740.00,112440471995.00,0.00,535691351393.00,119648044775.00,523785758529.00,0.00,1213846153.85,117072.73
18.00,2021/2/0/0,,BCM,56.20,52.10,10350000000000.00,58167000000000.00,505709202295.00,910325423417.00,1637220920419.00,3352821882255.00,96204876712.00,3304051079761.00,22388060890211.00,20920525406488.00,0.00,3697000000.00,87854.55
19.00,2021/2/0/0,,BFC,21.30,36.10,571679930000.00,1217678250900.00,80978019514.00,2069848871679.00,2335353674595.00,150365708731.00,0.00,1068552601992.00,986535922727.00,1770636563850.00,0.00,11114692307.69,286409.09
20.00,2021/2/0/0,,BHN,67.80,62.60,2318000000000.00,15716040000000.00,181846736994.00,1424414261514.00,1935945380994.00,687230878232.00,2170067731507.00,462049966782.00,627926466113.00,1733743136229.00,0.00,720692307.69,15545.45
21.00,2021/2/0/0,,BKG,10.05,11.70,320000000000.00,321600000000.00,4576853797.00,70213339060.00,79005596174.00,36462701151.00,0.00,165385814036.00,118800601400.00,54986685992.00,0.00,2544538461.54,202190.91
22.00,2021/2/0/0,,BMC,15.30,26.60,123926300000.00,189607239000.00,5959482735.00,37534816671.00,50101884090.00,77076048193.00,0.00,1279912300.00,83728906003.00,22015600457.00,0.00,625307692.31,39554.55
23.00,2021/2/0/0,,BMP,59.40,60.00,818609380000.00,4862539717200.00,41833119838.00,1265603637253.00,1452317364216.00,81138287098.00,810000000000.00,337851971262.00,617467227886.00,437012043198.00,0.00,2050230769.23,36425.00
24.00,2021/2/0/0,,BTP,16.50,18.85,604856000000.00,998012400000.00,4971039567.00,396056884594.00,389713083140.00,175171362182.00,372650000000.00,317812850043.00,105539758672.00,327226809585.00,0.00,1163153846.15,77533.33
25.00,2021/2/0/0,,BWE,29.40,44.70,1929200000000.00,5671848000000.00,169573548437.00,456332813246.00,774480218845.00,382982878024.00,552572000000.00,788739730548.00,824762760626.00,1770333808595.00,0.00,31310615384.62,809363.64
26.00,2021/2/0/0,,C32,26.10,36.20,150301450000.00,392286784500.00,16720454251.00,115915834402.00,134534769149.00,37442272772.00,49450839974.00,257277392329.00,87999228383.00,300801404686.00,0.00,1431846153.85,61354.55
27.00,2021/2/0/0,,C47,12.60,15.70,187221430000.00,235899001800.00,11897905273.00,241809203488.00,268593867058.00,39240627861.00,0.00,217523970073.00,633371182038.00,881653938827.00,0.00,1023230769.23,95383.33
28.00,2021/2/0/0,,CAV,61.50,60.00,576000000000.00,3542400000000.00,109567598896.00,2756498131263.00,3067421612256.00,57526719423.00,0.00,1285224024600.00,3215484224196.00,4086569857517.00,0.00,111682676.92,1796.83
29.00,2021/2/0/0,,CCI,16.50,23.50,177438650000.00,292773772500.00,9891983679.00,77148551552.00,90136034505.00,18180771980.00,249198000000.00,21169750671.00,23875955689.00,27360686889.00,0.00,172461538.46,10200.00
30.00,2021/2/0/0,,CCL,13.05,17.95,474998850000.00,619873499250.00,25771250678.00,232087211720.00,302160868281.00,21525630880.00,0.00,779313386572.00,288251266124.00,508864977219.00,0.00,4566384615.38,387333.33
31.00,2021/2/0/0,,CDC,15.50,16.50,219794684000.00,340681760200.00,3376805510.00,146814038447.00,153788237292.00,14883321937.00,375943249734.00,338472999663.00,246151811683.00,712501637219.00,0.00,103923076.92,8636.36
32.00,2021/2/0/0,,CHP,18.70,21.40,1469126680000.00,2747266891600.00,26574803609.00,85805562359.00,147788583749.00,159631204836.00,0.00,142354359892.00,8372083677.00,293083179210.00,0.00,519384615.38,26081.82
